947226,NANUK,2015-12-01 02:13:00,797,^^ well said porkpie !!
947246,lew,2015-12-01 09:19:00,12766,"but there are couple guys on this site that probably need a break from the Internet. A couple of threads have devolved into nothing but $h!@ slinging. It's one thing to argue a point, or state your case and another to crap all over each other.  That's the problem when you get a few guys who think they know absolutely everything about absolutely everything.  Always tough to have a discussion with ""experts"""
946340,chris.brock,2015-11-25 04:42:00,4053,"Every forum has one. Ontario fishing community is not immune.  I don't really know what you're saying, but I'm guessing it's derogatory. I worked at a marina when I was 14 and OMC stuff was good but the big, black Mercs were garbage. Yeah it's old school mentality.  Like someone else said earlier in this thread,  damn off"
946358,Mister G,2015-11-25 11:17:00,1429,"Fightin words where I come from.....  S.  Isn't calling someone Margie akin to swearing at them? HH Absolutely not.  I guess none of you ever watched the movie ""Fargo"".......it's a dark comedy. A bit slow for the first 10-15 minutes but really a great movie and now there is a series that's even better on FX...  Watch the movie and then try to condemn  me if you like because it just a friendly saying after watching the movie with these people from Fargo, ND......they say ""YA"" a lot and ""have nice day""....  OK MARGIE(s) ! ! !"
946366,Headhunter,2015-11-25 14:04:00,5703,Way to stay classy Mr. G..... HH
946410,Raf,2015-11-25 16:56:00,3495,this one might end up in the wood chipper
946414,irishfield,2015-11-25 17:10:00,26272,"Always keep the blades sharp Raf or it's very hard on the drive train, especially when chipping a B'eech!"
946418,Raf,2015-11-25 17:15:00,3495,
946464,captpierre,2015-11-25 20:08:00,2521,Shoulda just fogged the Yammy ?
946535,grimsbylander,2015-11-26 02:13:00,3016,The sparks fly every year right after the first snowfall. It's a OFC phenomenon!
946540,KraTToR,2015-11-26 02:22:00,506,"Ok, so how does a simple tech question thread go 3 pages????   :w00t:  And BTW, Fargo was a FANTASTIC movie... I especially like the wood-chipper scene.. all that red against all that stark white.. it really popped!  I've been a Coen Bros fan ever since..   All the best,  Margie..    PS. just re-fog the damn Yammy and be done with it."
947033,Mister G,2015-11-30 01:18:00,1429,"Ok, so how does a simple tech question thread go 3 pages????   :w00t:  And BTW, Fargo was a FANTASTIC movie... I especially like the wood-chipper scene.. all that red against all that stark white.. it really popped!  I've been a Coen Bros fan ever since..   All the best,  Margie..    PS. just re-fog the damn Yammy and be done with it.  OK Margie......if you say so........Ya.....LOL.........."
947086,Gerritt,2015-11-30 17:13:00,6129,"Mister G should of probably quit when he was ahead......   Not quite sure what a Margie is...... Must be some some new fangled city speak...  Pretty sure I know what modq means though..... Been in her arms a couple of times... She a tough old lass, who doesn't even kiss you when she's done...  I suspect you may be paying it a visit..  Enjoy it, the lack of lubrication only adds to the sensation of it...  Was that in the Merc manual?  The original G."
947089,Mister G,2015-11-30 17:19:00,1429,"Mister G should of probably quit when he was ahead......   Not quite sure what a Margie is...... Must be some some new fangled city speak...  Pretty sure I know what modq means though..... Been in her arms a couple of times... She a tough old lass, who doesn't even kiss you when she's done...  I suspect you may be paying it a visit..  Enjoy it, the lack of lubrication only adds to the sensation of it...  Was that in the Merc manual?  The original G. So you're hoping I going to be ModQ for being friendly.......WOW.....really WOW."
947090,Headhunter,2015-11-30 17:30:00,5703,"I agree with the original G! One's man's ""friendly"" is another man's anal orifice. Luckily, only the reader of the thread really gets to decide. HH"
947094,Mister G,2015-11-30 17:39:00,1429,"I agree with the original G! One's man's ""friendly"" is another man's anal orifice. Luckily, only the reader of the thread really gets to decide. HH Sorry you are both offended by what you don't know and what you don't understand.  I'm glad KraTToR got it and enjoyed the movie as well."
