737930,craigdritchie,2012-10-19 13:30:00,1586,I can see this one getting locked up pretty quickly.
737934,UglyBug,2012-10-19 13:36:00,148, That's really interesing I seem to remember getting alot of grief awhile back when I made the comment that taking pictures of out of season fish was wrong..Now your on the band wagoon. I guess better late than never..
737936,Parisite,2012-10-19 13:44:00,66,"Quickly!?? It's been going on for two days!  People see red and don't fully read someone else's post, misinterpret it and go off on the other person.  I don't like seeing people break the rules just as much as the next guy but you can't just show up on this board to yell and scream and go off on other board members.  Here's an idea to all those who are (overly) passionate about the sport they love and are getting upset with others who love the sport as well -  Volunteer with your local conservation authority so you can educate those ""bad people"" you see on the local waterways in an official and honourable way rather than as a vigilante civilian.  And stop screaming at other members of a message board while you're at it."
737940,spinnerbaitking,2012-10-19 14:37:00,1622," I'm not sure I'd be mouthing off about taking things into your own hands & slashing someone & leaving them to swim for as long as they can, try educating them or Take Pictures & report them or Shut Up, it wouldn't fair to good for you if you thought someone was doing something wrong & you walked up to them & broke their Fishing Rod lol Tight Lines SBK"
737953,Christopheraaron,2012-10-19 15:47:00,3525," SBK is right, just educate them using your crusher!"
737973,BillM,2012-10-19 16:58:00,17367," Good god man, you continue to ignore facts and just spout off useless drivel over and over again.  I think the funniest part of your argument is turning your own opinion into facts, then arguing them! (You ever see a fish successfully reproduce at Burt dam?  LOL!!!!)  Have you actually fished any of the southern shore Lake O tribs?  Maybe the southern shore Lake E tribs?  If you actually spent time on the rivers, you'd realize 90% of those idiots netting, snagging, ripping fish are doing it for the meat.  I can't count the number of times I've been way up stream on a Gbay trib and seeing guys fill their backpacks with nice fresh nasty boot fillets with the 5 of Diamonds still sticking out of their backs.  You're holier then thou attitude gets really old, really fast."
737993,mercman,2012-10-19 19:46:00,7054,"  Educate, thats all we can do I think i pointed that out earlier on.One is never too old to learn either.And once we have been educated, we must pass that education on to others."
738025,kemper,2012-10-19 21:28:00,2232," ""Fish on! Coming DOWN!""  I watched a guy fillet two big hens streamside last week on GBay, the skiens got pitched right into the river along with the guts. There is a serious white-bucket brigade mentality up there. Less general looganism, but for some reason a whole lot more bow leave the river on a rope.  Again, assuming that person is within their limit it's for none of us to judge. It's the crew of guys that hang out at the Beaver and rope a limit every single day for the entire season that irks me..."
738027,kemper,2012-10-19 21:31:00,2232," I suspect the single-night piles of 40-50 slit boots at Port Hope aren't due to roe anglers, but those who make a good buck selling the eggs for another purpose. Prepared correctly, that stuff is worth a lot of money - lake Ontario boot quality or not."
738039,Salmonidstalker,2012-10-19 21:51:00,265,"At one point Snidley, you used to sling guts with the rest of them.  Don't hate dood, you used to be one of us roe slingers.                "
738049,Terry,2012-10-19 22:05:00,14456,"ethical  ethics has nothing to do with it if one is fishing with in the law  ethics is a personal opinion and nothing more, as every single person has their own opinion there for has their own set of ethics only a self rightest blow hard would try to push their ethics on others...the law is there to make sure the ontario standard ethics are being followed, it's called the 2012 fishing regs......  it's fine to state your ethics, but to beat someone with them makes you a moron....you opinion is just not that important..the world does not revolve around you"
