735922,bubbles,2012-10-11 19:33:00,591,What Lew said.
735928,jimmer,2012-10-11 19:52:00,2730,"Haven't been to a river in years just for the reasons stated. Won't go either, because others will laugh at my relic equipment now. I did enjoy watching a shoreline/bank scuffle the odd time as long as no one got hurt. LOL"
735987,SirCranksalot,2012-10-11 23:38:00,3291,"Well, yes and no. As a percentage, no, but there's 1-2 km of relatively fast water in the park.   "
735989,BillM,2012-10-11 23:44:00,17367, I rarely make it down to the bottom end
735993,kemper,2012-10-11 23:49:00,2232," I know it is full of fish, but MAN is it painful to watch a float move that slowly..."
735994,misfish,2012-10-11 23:49:00,29133,"I,ll be fishing with a good friend this weekend.If he feels the need to ""GREASE ME"" I,ll under stand."
735999,Salmonidstalker,2012-10-12 00:13:00,265,"Kemper, early season/low water, you're going to concentrated guys on every river, every day. And that means combat fishing sometimes. Take it with a grain of salt.  Lets be honest, most guys don't know how to time rivers properly anyway. A nice cold snap + good down pour + perfect timing and you'll have no one in sight. Even in some the most popular east tribs, I've had the rivers to myself on a weekend because guys just don't time it right.  Have a good chrome season, it should be a banner year on all tribs."
736021,GBW,2012-10-12 01:54:00,8460,Did u get his number?
736029,Twocoda,2012-10-12 03:19:00,4130, He might not have because he thought you were already in a relationship
736058,GbayGiant,2012-10-12 13:15:00,1780,Kemper. If this river fishing makes your life so miserable that you think posting something like this will make your worries go away you should take up Bass fishing instead. Don't let your day be ruined. Walk away and try another river.  or stay and fight.  
736059,FUSION,2012-10-12 13:44:00,81,
736084,kemper,2012-10-12 17:45:00,2232," Day was far from ruined, lots of fish still made their way to the bank!  I'm a finance guy - my skill with words doesn't always put forth the tone that I intend. There was some sarcasm and feigned exasperation hidden in there - in all honesty I was mostly in awe of the situation and how fast this addiction has spread.  No worries Gbay, I do bass fish but they don't seem to co-operate with me the way that trout do..."
736094,shane,2012-10-12 18:48:00,652,"  Or take up carp fishing. Fight just as hard and, this time of year, probably taste better."
736173,GBW,2012-10-13 01:37:00,8460,"Ouch,,,, PS, yes I LOVE cocha"
736198,Twocoda,2012-10-13 04:55:00,4130, All in jest Goeff..i couldnt resist...
736218,Billy Bob,2012-10-13 13:15:00,5865, Nice list........these and some others are the reasons I purchased my first boat 40 years ago....
736251,GBW,2012-10-13 18:12:00,8460,"Oh know, just google what I posted...."
