913224,Parnelly,2015-05-01 11:07:00,108,My 94 F150.    
913227,dave524,2015-05-01 11:45:00,4508,"You can call a Ford pickup truck anything cool gnarly sounding you want it's still a Ford pickup. Actually it has an appropriate name, a Raptor is after all a dinosaur.  Actually before Toronto had a NBA team I associated Raptors with Birds of Prey, hawks, eagles and falcons, but then I was a avid birder in my younger days. Between the team and the movie Jurassic Park people pretty much think of dinos now. My present ride is an 06 Jeep Liberty with 69000 kms on it, solid little suv that tows fairly well, maybe harder on gas than some but then I don't drive many klms in a year."
913247,ken wasik,2015-05-01 13:11:00,9,"love the Fords, got a 09 F-150"
913271,Old Ironmaker,2015-05-01 17:01:00,8243,"I really shouldn't dis Fords, heck I've owned a few."
913323,lookinforwalleye,2015-05-01 23:51:00,4399,Doesn't that Chevy cost a 100 grand seems like a lot for a Chevrolet.....for that price you can get a hellcat and a Ram to tow your boat and enough left over to take your significant other on a nice vaca!!! LOL
913395,Sebabmw,2015-05-02 19:32:00,13,"Here's my 2015 Ram Sport , looking forward to towing with it this summer! "
913467,KLINKER,2015-05-03 16:25:00,256,"If I had to buy a new car? That's easy, the last GM made in Canada should be collectable and coming soon."
913564,manitoubass2,2015-05-04 14:43:00,11391,"Posted for Mr Blizzard...  Our first ever brand new vehicle purchase, bought it down south from a dealer outside Edmonton. Its just two week old    And Ill add that is one sweet looking truck!"
913572,manitoubass2,2015-05-04 15:55:00,11391,"Wow!  This guy I just met has a storage shed across from our place.  All the sudden I hear this beatiful sound!  So I head over and introduce myself. Ask ""what kind of motorcycle ya got in there""?  Thats not a motorcycle young lad, thats my car. Come take a look.  Its a 53 ford and is it a beauty! Ill post a few pics as the upload"
913574,manitoubass2,2015-05-04 16:01:00,11391,
913575,manitoubass2,2015-05-04 16:03:00,11391,  
916473,huzzsaba,2015-05-23 15:46:00,884,My 2 rides:  2004 Volvo xc90 2.5t  & 1998 Volvo s70 T5SE (Manual) 
916496,Sour_Squirrel,2015-05-23 19:38:00,196,1972 Plymouth Duster 340  
916498,Joeytier,2015-05-23 19:58:00,3990,Nice plum crazy duster!  Those were always my favourite muscle car when I was a kid.
916502,Sour_Squirrel,2015-05-23 21:20:00,196,It's a bit old school with the Centerlines and traction bars but still turns heads. It looks impressive just standing still with its stinky exhaust and lumpy rough idle....
916515,irishfield,2015-05-23 22:43:00,26272,Nice SSquirrel... been looking for a solid '70 for some years. Figure I can tell the wife that the bird and bee got together and popped out a Duster! ;o)
912743,bow slayer,2015-04-28 15:14:00,1074,"Shopped for one of these for years in the 90s.never lined up with the right car/deal. Just saw an 87 GNX with 10.5 miles go for $96,000 on eBay last week a neighbour down the road has a GNX #117 I think,has 166 miles on it,he bought it in 1989 for 52,000 us,he has been offered 100,000 for it a couple times over the years and has refused."
