6188817,Golden Eagle,2018-05-12 17:29:00,2642,"Deep water lakes, way up yonder, might still be covered with ice when Saturday gets here."
6189345,Skywagon,2018-05-13 05:14:00,1106,A minnow trapper reported yesterday (Saturday) that his trapping block north of Pickle Lake still had ice.
6190529,martinbns,2018-05-13 20:16:00,1520,"Spent the day on LOTW near Kenora today, beautiful."
6194652,Lake Of The Woods,2018-05-15 17:14:00,124,"It's official, the Lake of the Woods was ice free on May 14th,... let the games begin!"
6175017,nitroman,2018-05-05 16:09:00,368,Just got word ice is out on Cedar!
6175297,port1042,2018-05-05 18:42:00,509,Big changes on Perrault Lake over the last few days.https://manotak.com/dock-cam/
6175657,JAY221,2018-05-06 05:51:00,877,"Wabaskang is breaking up as seen on the Sleepy Dog Cabins website. Later, Jay"
6175849,bearfvr13,2018-05-06 08:01:00,174,"23 degrees tomorrow in Perrault Falls, the ice should really start melting even faster!! Hope everybody has a great season!! (Fishermen and Outfitters) Chuck"
6177433,prov1800,2018-05-07 06:25:00,5010,Looks like the opener is shaping up perfect.most lakes pretty much ice free in the vermilion bay area.can see some ice floating around but all that should be gone within days.
6178985,Bstar,2018-05-08 04:35:00,564,"Sounds like it's time to put the ""Ice Out"" threads to rest."
6179073,Freytown,2018-05-08 06:06:00,770,Ice is going....slowly but melting just like every year.
6179770,SterlingArcher,2018-05-08 13:35:00,92,"Here in northern MN there are still quite a few lakes with a not insignificant amount of ice cover. Makes me wonder how things are up on Savant Lake, and how the fishing might be different this year (we go in late June) compared to other years. The hunt for fish is part of the fun!"
6187225,Freytown,2018-05-11 15:20:00,770,Baskatong ice free and Cabonga will be shortly.
6188785,larry0418,2018-05-12 16:42:00,16,"Pics just taken today of the Ogoki reservoir. Don Elliot, from Mattice Lake Outfitters just sent them. He feels it may be open by next weekend, we are heading up 6/1."
6160833,bones82,2018-04-27 10:33:00,121,www.facebook.com/lakeofthewoodsmn/posts/10156370522512855
6161537,Rock Lobstar1,2018-04-27 17:34:00,134,"I flew from kenora to Dryden today. Here’s Vermillion Bay. The ice is starting to darken but still had a ways to go. Supposed to be 10 tomorrow, 20 Sunday and 18 Monday."
6163305,prov1800,2018-04-29 14:25:00,5010,Took a nice Sunday drive up to perrault falls to see what's happening. All the small lakes like trail lake are going to be gone this week they are pure black.cedar and wabaskang are getting a darker shade to so with some warm weather we have and 3 days of rain forecasted all the right ingredients will get mixed up.walked down to the public launch on wabaskang and took a picture of gawleys and king Fisher.that part is open and lots of water coming through the falls from perrault lake.on our way back I stopped at cedar lake lodge launch and lake is also getting dark and some open water on shoreline.its 19c here today so it's softening things up.
6163313,bearfvr13,2018-04-29 14:34:00,174,"I'm watchin the Manotak webcam and it still looks grim, but it should melt quickly with 3 days of rain!! Fingers crossed for the next 20 days!!! Chuck"
6165225,tswoboda,2018-04-30 15:41:00,12,"Thanks to everyone for the constant ice reports last week. We ended up fishing Friday and Saturday with the ice well on its way out... the thaw is happening very fast this year. Friday the ice was still white but pretty well honeycomb for the top half, Saturday it was gray and honeycomb all the way through, and Sunday the sheet was mostly all black. We took atvs on Friday but decided to walk on Saturday. I would not be surprised to see WFB boatable by Sunday."
6166473,rockape,2018-05-01 07:47:00,215,NICE Lakers!
6166841,prov1800,2018-05-01 09:58:00,5010,Glad to see it worked out for you guys.
6167353,Obabikon,2018-05-01 13:27:00,2370,http://www.redwinglodge.net/webcam/ It's starting to go out! Some open water is finally here!
6174449,Rock Lobstar1,2018-05-05 07:52:00,134,Yesterday was very warm and very very windy. I think it sped up the ice out a lot. 2 days ago the ice was tight to the shore and still not very dark. Yesterday evening the ice was well black and pulled away from shore 30ish feet with open holes visible further out. I talked to someone on the downwind side of canyon lake also and the said the wind was pushing the ice up onto the shore and it was crushing and piling up on the shore. We definitely needed that.
6174521,fishin10,2018-05-05 08:18:00,2315,"Things are looking positive up at Sportsman's Lodge on Little Vermillion Lake, just north of Red Lake.http://sportsmanslv.com/"
6143673,tswoboda,2018-04-19 07:52:00,12,"I hope you're right, the long days and bright sun just have me a bit worried that this ice could go from mid-winter status to unsafe for atv's in a very short time frame. I'm planning to be a bit SW of you in the Sioux Narrows/Nestor Falls area. If the ice doesn't look good there we will head up to Sioux Lookout. Either way we're not far from your location so the ice conditions should be somewhat similar. Really appreciate your late season reports."
6144665,prov1800,2018-04-19 15:52:00,5010,"South of me will go a bit faster.was on the lake this morning till 2.came of at my buddies ramp and broke through.shorelines will be your worst enemy depending which direction they are.ill be taking the atv this weekend.sioux lookout and where I live are the same line there just east of me by 76 mi.as the crow flies.lol.maybe leave earlier.ice will be good.bring a couple of ladders.plus 12c today.forecast is warm.did good again.fished 3 diff spots released everything.nothing big all 25""."
6152729,prov1800,2018-04-23 14:23:00,5010,was out on Saturday with atv.good going from shore.headed out tomorrow ill let youknow my findings.was in drydenn this morning and went to the ice road by the dock.its toast.things are happening.
6152785,tswoboda,2018-04-23 14:36:00,12,Seriously appreciate the updates! The melt down is definitely happening and it's going to come down to the wire for this weekend. My gut is telling me it's gonna be a no go in the Sioux Narrows area but we'll just wait and see I guess. Thanks again and good luck tomorrow.
6153801,Rock Lobstar1,2018-04-23 21:08:00,134,Things are happening fast. Saw a video of a truck going through the ice in Clearwater Bay today. Stay safe.
6154617,prov1800,2018-04-24 09:30:00,5010,was headed out today on cliff lake but my buddy who lives there told me his ramp is all water as of now.could get on ice on different spot but he said there was a side by side out there yesterday and was having trouble getting hung up.conditions have gone sour since I was out on Saturday and he also told me it is 24 inch thick ice but auger goes through it like butter.i have decided to call it a year.ill work on some projects I have been avoiding and get working on my boat which I hope to use shortly.
6156849,Obabikon,2018-04-25 14:40:00,2370,This is in front of Mylie's Place yesterday on Lake of the Woods.... Warm weather and rain are both in the forecast. Everything is looking good!!!!!!!!!!
6156985,pjshorthorn,2018-04-25 15:52:00,5654,Here is a picture in front of Redwing Wing Lodge based in Morson on LOTW. Looks like the ice is close to giving up for the season.http://www.redwinglodge.net/webcam/image.jpg PjShorthorn
6156993,That Minnesota guy,2018-04-25 15:58:00,8293,"Hmm, I drove up to Kabetogama in Minnesota on Sunday. They still had nearly 30"" on ice on the main lake. It will be close and the small bays might be open but it's gonna be close I believe."
6158193,bones82,2018-04-26 08:01:00,121,I believe it was much colder in Minnesota than it was in the Kenora area in late March and first parts of April. Trucks going through the ice on LOW around Kenora.
6126754,JayM5209,2018-04-11 17:59:00,1050,"John, appreciate all your reports. Keep posting. However, don't push this thawing thing too fast. I'll be on Cliff several days of the 2nd week of the season looking for lakers and am hoping the water will still be VERY cold! If the ice goes in the middle of opening week I'd be very happy!"
6126842,prov1800,2018-04-11 18:51:00,5010,Believe me.the water will be cold.lol.
6127466,pjshorthorn,2018-04-12 06:31:00,5654,Here is an interesting article from up Nort on ice conditions on LOTW. It looks like it is going to be a squeaker on whether ice may still be on lakes for opening week in southern Ontario Lakes. Lakes that are further north.....http://www.cbc.ca/news/canada/thunde...-ice-1.4613349 PjShorthorn
6127850,Guest,2018-04-12 08:26:00,0,"Pray for warm weather and rain; been ice fishing Eagle lake and cut new holes 2 days ago, 30"" of ice!!!!!!"
6130042,fishin10,2018-04-13 05:44:00,2315,I check the Weather Channel every day for Red Lake CN. Here is the next 10 day forecast.https://weather.com/weather/tenday/l/CAXX0606:1:CA
