1160122,Guest,2010-01-14 07:52:00,0,I can't bring minnows into minnesota or wisconsin from canada. I guess they want their taxes also.
1160131,Obabikon,2010-01-14 08:15:00,2370,"Both sides are equally childish. However, bringing live bait is proven than it can damage lakes. So, that's a logical ban."
1161556,walleyeduran,2010-01-19 19:25:00,286,"V-Gord, it is interesting that you bring up the orange example. Did you know that 90% of the leaches sold in Canada are actually caught in the U.S. (it is funny how you can not bring leaches into Canada fron the united states because they may have a harmful effect on the, OH OH WAIT, the leaches are from the united states). Not to start a argument, but both of our countries have a very good history of taking advantage of what they think is a easy BUCK. Duran"
1161571,Obabikon,2010-01-19 20:17:00,2370,"There's also a difference in commercial transport of leeches that are tested, and Billy Bob bringing across a bag of leeches to go fishin'."
1161583,v-bay gord,2010-01-19 21:08:00,3168,My understanding of your leech example is that in 1999 Ontario brought in a non-commercial restriction on importation of live leeches. In 2005 this was extended to the commercial importation of leeches as well. So I believe that for the last 4 years your interesting fact is no longer factual. Correct me if I'm wrong but that is the reason that all bait dealers in this area trap or buy their leeches from local sources.
1161665,JDP,2010-01-20 07:17:00,1457,I believe you are exactly right-on V-Bay Gord!
1161868,GNO,2010-01-20 18:15:00,153,V-bay is correct
1162461,alanexpup,2010-01-22 22:32:00,278,i guess this is just another way of saying yankee stay home!
1162654,GNO,2010-01-23 17:02:00,153,"Are you talking about the new HST tax or the bait issue that this thread has turned into? The new tax will actuall save most visitors who are taking a package, which I would assume is teh majority of the visitors. The bait issue on the other hand, I believe is pretty universal no matter what side of the border you are from. The simplest solution to the bait issue is use Gulp, it works just as good most of the time."
1159416,v-bay gord,2010-01-11 09:08:00,3168,"My point, which you did not understand, was that there is no guarantee that the reciept you have matches the bait you wish to bring along. It is just a piece of paper. Sorry for my contrary tone, but the health of our fisheries is more important than your feelings, your tourist $, or your skewed opinion. My vested interest is in having great bodies of water now, and into the future. I'm not willing to let that go because you are unwilling to buy a few dozen minnows in Ontario."
1159419,Esoxchaser,2010-01-11 09:16:00,1576,"How would they know the Ontario receipt matches the bait? The entire argument is flawed, barring the marking of bait when tested. Both jurisdictions require VHS testing of bait. Either receipt would prove the bait was tested and found VHS free. The only difference is that Ontario can't tax the US bought bait."
1159440,v-bay gord,2010-01-11 11:19:00,3168,"What guarantees that the receipt matches the bait you wish to bring into the country? Perhaps you like to trap your own or you have a buddy that does. Perhaps you changed the water several times from sources containing disease or invasive species. If, on the other hand, you cannot bring bait across the border then the receipt you show in Ontario will likely mean the bait is from Ontario waters. It also means the bait can be traced back to the local dealer your receipts says you bought it from. The connection you draw to the taxation question is flawed......."
1159457,troutaholic,2010-01-11 13:19:00,827,"In a nutshell: - Both Receipts state that the bait is VHS-Free - Both Receipts can be traced back to the Original Bait Store (If there is no ""Switcheroo tactics""). The ONLY Difference is that: - There is no Canadian taxes on the Michigan receipt Therefore, if the issue is to keep the waters ""Clean and bug-free"", the MI receipt meets that criteria. Unfortunately, Canada refuses to honor MI receipts. Why? Esox is stating that it is because they want the extra tax dollars AND NOT to keep the waters ""Clean and bug-free"" as they claim. If the ultimate reason was for this purpose, the rule should be that "" ALL bait must be certified as VHS-Free and traceable back to the original supplier of said bait. I won't even go into the nightcrawler ""double-standard"" by Canada. I have the same argument on the Rainy lake between Minnesota and Canada, so I do have some learned knowledge on the subject."
1159467,v-bay gord,2010-01-11 14:19:00,3168,"My point is that live bait crossing an international border could have it's origins anywhere, regardless of what scrap of paper you present to say otherwise. A border official has no way to verify that this is the same bait you claim to have purchased. It could be bait you trapped in your brother-in-laws goby infested pond. The fact that you are stopped at the border from bringing in live bait eliminates this question. As far as whether the bait you have with your Ontario receipt being legit is a parallel but different issue. The origin of that bait will be Ontario waters. As far as being traceable, I would say it is much easier for a local CO to verify with a local bait store whether there may be some issue or not. The local CO is not going to start investigating a bait shop in another country. The bottom line is that this is a natural resources issue, not a tax one. If you prefer to believe the conspiracy theory then just remember that it is a different country and you need to expect to pay the appropriate taxes. By the way, there is no double standard by Canada on nightcrawlers. They just expect them to be brought into the country in artificial bedding. Even if they originate in Canada, how they are imported into the US is a matter for the US, not Canada."
1159477,Esoxchaser,2010-01-11 15:20:00,1576,"I am not referring to being stopped while driving across the border, I am talking about fishing on border waters. The St Clair system (which connects lakes Huron and Erie) already has VHS in it, so the whole VHS certification thing, checking boats upon those very busy waters is merely an exercise in checking tax stamps. People used to buy licenses for both Ontario and MI and simply follow the fish. It was never uncommon to be back and forth across the border 6 times a day in the rivers. So common that the Detroit to port Huron areas were the nations biggest users of the I-68 and OARS border programs. Checking local website bulletin boards, you would find that the number of people buying Ontario licenses and getting their I-68's has dropped off dramatically. I think one could easily figure that the ridiculous bait requirement is costing Ontario more in unsold fishing license revenue than it could ever make them in sales taxes, while accomplishing nothing else but assuring that only Ontario provided VHS free bait is used in waters already infected with VHS.Unfortunately the small businessman along the rivers and lake suffer as well, as tournaments are moved to the MI side, and the restaurants and other businesses see a downturn in traffic from across the water. I have spelled it out repeatedly and as succinctly as I am capable. So I wish you the best for the upcoming season, and hope you understand what I am trying to say."
