593550,umKthxbye,2011-06-16 02:46:00,247,"You mean ""Tim Thomas kicks "" He is the only reason they made it that far."
593561,dhickey,2011-06-16 03:04:00,1038,  NO. BOSTON KICKS
593572,kickingfrog,2011-06-16 03:19:00,8333,... and the city is on fire.
593579,kickingfrog,2011-06-16 03:36:00,8333,... and it's not even dark yet.
593582,DRIFTER_016,2011-06-16 03:51:00,10439, What a bunch of friggin' idiots!!!
593583,irishfield,2011-06-16 03:52:00,26272,"Yah... it makes your head shake, it's not like any of the ones doing so paid $6500 a seat to get in!!"
593584,dhickey,2011-06-16 03:55:00,1038,Teenage boys  and young men(boys)  are stupid!!!  If they just go hang with their girlfriends they would greet the world with a smile on their face tomoro.!!  STUPID ...  Cant reason with them...   
593609,Grimace,2011-06-16 10:46:00,2020,"You know it is funny, if the government doubled taxes and took away the right of freedom of speech people would likely not take to the street.  It really bothers me that this happened.  What about all the people that took their kids to the game and had to fight their way out of downtown Vancouver?   That must have really sucked."
593618,Rod Caster,2011-06-16 11:25:00,5784,"Haha, the rioters should be automatically enlisted into the army. That would stop 'em. Congrats boston, they were by far the better team. Vancouver let this one slip away."
593898,Dan668,2011-06-17 03:38:00,1120,"Sad to see all that rioting. Was expected though, even if they won imo. They couldnt score on Tim Thomas, and Luongo let in all softies as usual.  "
593276,Rod Caster,2011-06-15 13:25:00,5784," hahaha there goes my tea, 30 feet across the room. hahaha that's hilarious."
593304,anders,2011-06-15 14:52:00,1168,    All my life I waited for today...win or lose very proud to bleed black and gold! Go Boston!
593311,kennyman,2011-06-15 15:07:00,737,"How can you not like Ray Bourque or Cam Neely for that matter ? That said, I want the cup on the right side of that border. For that to happen it'll take the Sedins to step up (where have they been?) and Luongo to stand on his head. Here's hoping. Go Canucks!! P.S. I'm a Leafs fan and I want the cup in Canada any way possible. "
593352,Dave Jones,2011-06-15 17:26:00,50,    
593363,kickingfrog,2011-06-15 17:57:00,8333, Your just going to have to relax their bud.  That one and a dozen others drives me nuts as well.
593366,blaque,2011-06-15 18:07:00,2419," Weye iz ""to"" underlyned?"
593368,kickingfrog,2011-06-15 18:12:00,8333, Ha Ha. Auto correct. I meant to use too and two.
593381,solopaddler,2011-06-15 19:11:00,8605,Here's what I'm hoping for tonight.  They play a scoreless game and take it to 12 overtime periods with both teams finally collapsing from exhaustion.  Bettman declares neither team truly deserves the cup and for the first time ever it's pronounced a draw.  (Hey it could happen.  )
593389,blaque,2011-06-15 19:21:00,2419,"  Funny thing is, your right, it absolutely could happen. But not with Bobbylou in net"
593390,irishfield,2011-06-15 19:21:00,26272,..or Bettman drops the opening puck and the stick swing takes his head off and ends his nonsense for ever...  Canucks in OT !
593391,blaque,2011-06-15 19:22:00,2419," Phew, i thought i was using ""to"" incorrectly all these years lol"
593408,muskymatt,2011-06-15 20:01:00,2608,Let's go Bruins
593414,Abraxus,2011-06-15 20:18:00,104,"I  don't really know much about ""Roosters"" playing hockey or whether there are many of them playing in the NHL. Unless you are referring to Bettman, in which case I would easily agree...he is a real C@#$@! (Rooster) However, this having been said, I do know that as far as Rosters go....their are 11 Canadians playing for the Canucks and 17 playing for Boston. We are talking 6 players on a team that does not exist in any Province In Canada that I know of by the name of Massachusetts.  The fact that the Canucks are on this side of the border, easily makes them more Canadian then 6 players playing for the dark side! lol  Ab"
593429,blaque,2011-06-15 20:58:00,2419,You guys think too much.....
593436,jedimaster,2011-06-15 21:18:00,3472,Bruins 5-2 and Loungo gets the hook before the end of the second.
593437,BillM,2011-06-15 21:24:00,17367,Stanley Cup hasn't been decided in OT since '54.  I could go for some of that tonight.
593440,misfish,2011-06-15 21:30:00,29133," One can only wish Wayne.  Bruins 5-2 Go ahead Van fans,burn the city down. Make Montreal proud. No matter what happens. Tims the MVP OF THE PLAYOFFS. Never missed a game or pulled and made it to game 7 in the final.  Tim Thomas MVP. If he dosent get it, win or lose,thats a crying shame."
593512,Rod Caster,2011-06-16 01:48:00,5784,My head hurts and beer doesn't taste as good.
593517,danc,2011-06-16 02:05:00,4677,Luongo sucks!!!!
593520,atvaholic,2011-06-16 02:06:00,271,Same here...
593526,irishfield,2011-06-16 02:10:00,26272,Win or Lose.. the El Dorada Silver Deluxe tastes just fine...
593528,GBW,2011-06-16 02:13:00,8460,"my beer tastes just fine, but it's dark and coming out a black and gold can..."
593529,danc,2011-06-16 02:15:00,4677, As does the Steam Whistle...
593537,misfish,2011-06-16 02:23:00,29133," Steam whistle is good but gives me a brain pain. To bad,tastes good.   Looks like an early bed time with a smile. SRY VAN fans. "
593544,dhickey,2011-06-16 02:32:00,1038,HMMM What to say??         BOSTON  KICKS    
592792,DundasSteelheader,2011-06-14 01:03:00,166, 
592795,Dan668,2011-06-14 01:11:00,1120,Tim thomas could've scored on luuuuongo.
592799,dhickey,2011-06-14 01:18:00,1038,Not braggin. Maby a litle? Called Chicogo last year. Caled BOSTON this year. Got Betman figured out.. 5-3 BOSTON 2nite.
592811,uglyfish,2011-06-14 01:34:00,981,"I wanna see boston win. I'm a leafs fan, and since boston screwed the draft pic they gave us... They may as well win. And they have more canadian players, and tim thomas deserves it more then anyone for the way he plays!"
592836,knightfisher,2011-06-14 02:22:00,237,Odds alone dictate that Boston will not lose four in a row in Vancouver. Not to mention they were in every game there. Boston without a doubt wins the cup.
592837,GBW,2011-06-14 02:25:00,8460,"4 - 1 now, who knows..."
592840,Rod Caster,2011-06-14 02:30:00,5784,  indeed  I sure cheered on that non-goal. Darn
592843,dhickey,2011-06-14 02:33:00,1038,  So true..
592852,Lungelarry,2011-06-14 02:53:00,294,TIM THOMAS for president................GO Boston GO
592854,Rod Caster,2011-06-14 02:59:00,5784,"To quote Big Sugar  ""Don't say it's over, it's so not over"""
592855,Pigeontroller,2011-06-14 03:01:00,2793,"Doesn't matter who was born where...Vancouver is the CANADIAN Team.   Boston's got the heart, and they deserve to hoist Lord Stanley Wed.   GO CANUCKS GO!"
592859,dhickey,2011-06-14 03:09:00,1038,Said it before ill say it again. Canadian hockey players are the best.....  BOSTON will contineu to play thier game in Vancouver and win the LORD STANLEY CUP...
592869,dhickey,2011-06-14 03:33:00,1038,So if we ever meet up fishing hockey discusions are out of the question?  I think so.  Kaby is a good solid player and so is chara but the majority of cup winners are primarily based with CANADIAN players. WHY? Because we all grow up dreaming about winning the cup . If your not on the ice your on the road playing street HOCKEY.! Or sitting on a bus.
592870,kickingfrog,2011-06-14 03:35:00,8333,"Someone really needed to tell the bozos in the booth that Seidenberg was sliced by Thomas' skate. How many times did they show the replay? And they still had no clue. ""He grabs his knee, after he bangs it on the ice."" Two villages are missing their idiot. Craig Simpson is the second best sports personality in his family.  I am indifferent to the winner (although the van fans and the commentators are becoming insufferable) I want entertainment, so I am happy with seven games."
592879,dhickey,2011-06-14 03:53:00,1038,Bla  Bla Bla....  Wednesday will sort out the girls.
592883,hawk-eye,2011-06-14 04:34:00,141," Same here, if we can get one more game outta Robby the choker Lou."
592909,Guest ThisPlaceSucks,2011-06-14 11:49:00,0,"i've heard the argument 1000 times that the team with the most canadians is the canadian team but i honestly couldn't care about the players.  it's a game for the fans, and i'm always rooting for the canadian fans to get the cup. if the number of canadians determined what team was ""more canadian"", none of you bitter leaf fans would even cheer for the leafs.   it's become obvious that leaf nation cheers against every other canadian team and we're fine with that.  we all cheer against you too!"
592941,Grimace,2011-06-14 13:25:00,2020,"I don't care about Canadian players or Canadian teams.  Patriotism is a silly concept (don't get me wrong, I am extremely proud of being Canadian),  I cheer for style of play and personalities.  Neither of these teams excite me, in fact they both put me off a bit.  I would rather Boston win because I despise them less.  Cheering for the Stanley Cup final this year reminds me of voting.  I called Vancouver in seven over Boston in the thread at the start of the playoffs.  I hope I was off and Boston pulls it off.  Edit: Spelling"
592999,blaque,2011-06-14 16:57:00,2419,"Either way ya look at it, the cup will travel to both countries once it is won. Ive tried picking a team to root for the whole series and just cant. So as someone has said earlier........im just glad it became a 7 game series and will just hope for a good close overtime finale.  If i had to pick, i guess id like to see the home team win the trophy. Its always so lame when the away team wins in front of a building full of depressed fans. That NBA final was a joke, you wouldnt have known any of the Mavs just achieved their lifelong dream."
593002,DRIFTER_016,2011-06-14 17:09:00,10439,  :thumbsup_anim:
593027,anders,2011-06-14 18:08:00,1168, I thought it was just me!
593151,siwash,2011-06-14 23:54:00,683,Team Sweden (Vancouver) v Team Canada (Boston)   Go Bruins..
593162,dhickey,2011-06-15 00:43:00,1038, It wasnt you. Any fan of BOSTON is Ok by me.
593167,dhickey,2011-06-15 00:48:00,1038,   yep  GO BOSTON  
593235,Dan668,2011-06-15 04:50:00,1120,Luuuu 
592737,Rod Caster,2011-06-14 00:10:00,5784,"I'm gonna be glued to the TV for the next few hours! if they can't win game 6, game 7 will be SCARY  Go Canucks!!!! Don't let it slip through your fingers"
592739,GBW,2011-06-14 00:13:00,8460,good luck VAN!
592740,Nipfisher,2011-06-14 00:13:00,2449,Yep. Having a brew and sitting in front of the tube.
592748,DundasSteelheader,2011-06-14 00:18:00,166,"Ill be stayin up to watch it, screw school!  Good luck Vancouver!"
592750,pikeguy,2011-06-14 00:20:00,195,i have confidence. Go Vancouver
592752,GBW,2011-06-14 00:21:00,8460,GAME ON!!!!!!!!!!!
592757,Rod Caster,2011-06-14 00:27:00,5784,A diving call on a Chara hit??? Is that even possible?? The man is huge.  Can't believe Sedin whiffed the puck
592758,misfish,2011-06-14 00:27:00,29133,"Been a Bruins fan way back since I was a wee lad,they have been my team since Orr,Park.Barrie minor hockey teams way back, were funded by the Bruins.   GO BRUINS GO."
592762,GBW,2011-06-14 00:35:00,8460,"OH man, here come game 7 the way this is going (ALREADY!)..."
592764,Rod Caster,2011-06-14 00:37:00,5784,Brutal. Fleeting sense of security.. Pull him!
592766,BillM,2011-06-14 00:37:00,17367,I'd pull him after letting those two floaters in!  You gotta stop those.
592767,misfish,2011-06-14 00:38:00,29133,"FOR THOSE THAT WANT THE CANADIAN TEAM TO WIN,CHECK OUT THE ROOSTERS?  WHICH TEAM IS CANADIAN?  Geoff,,,,,,,,,,,,LMAO"
592770,misfish,2011-06-14 00:43:00,29133,"WHOOP THERE HE GOES,WHOOP THERE HE GOES.  See ya all in Couver"
592772,GBW,2011-06-14 00:44:00,8460,"Brian, all along I had said Boston in 6 but that never happened.  So they get it in 7.  While posting this it's now 3 - 0  What time is it in BC?  Oh, it's now 15 past Luongo..."
592773,misfish,2011-06-14 00:45:00,29133,"Just as you post, ZZZZZZZZZZIIIIIIIIIIINNNNNNNNNNGGGGGGGGGGG ANOTHER.LOL"
592775,GBW,2011-06-14 00:46:00,8460,"yup, going to 7 and Boston has it in Van. BC"
592776,DundasSteelheader,2011-06-14 00:46:00,166,Oh boy.
592778,Dan668,2011-06-14 00:50:00,1120,"What a joke, first 3 should of been saved, all soft goals. I don't understand how a team can play well but on the road fall apart. This game will be a blowout"
592780,pikeguy,2011-06-14 00:51:00,195,  ok ok i will take the cup lol
592781,Dan668,2011-06-14 00:52:00,1120,"I'm not a fan of either team btw. Boston cause they have more canadian players, vancouver cause their a canadian team, doesn't matter to me lol."
592782,Guest ThisPlaceSucks,2011-06-14 00:52:00,0,Got any more tips for Tim Thomas ?
