6590468,muskyman73,2021-08-15 14:47:00,401,that looks really good
6590472,prov1800,2021-08-15 15:07:00,5010,Been doing that a lot.Easy and no oil.
6590558,Bill Krejca,2021-08-16 06:54:00,6107,"Thanks, John! Re: One over - Completely ridiculous interpretation of rules. What if you don't catch/ can't catch one over, or chose to not bring any home. Would not want to have to deal with the fellow who interprets law as such. Most wardens I have interfaced with have been more realistic. Bill"
6590566,prov1800,2021-08-16 07:25:00,5010,"I don't know any wardens that would tell you that.Depending on which lake your a one over could be 3 diff sizes.Most lakes one over 18"".But Lac Suel and Eagle have slots and understand Wabigoon Lake has one to. Keeping one over on Eagle would mean a 23""plus fish which i wouldn't even want to eat."
6590160,Guest,2021-08-14 09:54:00,0,"I heard the Canadian border guys can look up your name and tell if you have been catching a lot of fish at the Canadian camps in the last few years. Our camp owners have always required a fishing report from us. The guys catching a lot are maybe a lot more likely to keep fish to take home to the US with them. They might try and not let you in. With that said V-Bay Gord should be fine, smooth sailing to get into Canada. The rest of us, not so much."
6590168,Eckohlt,2021-08-14 10:20:00,3685,"I don't think there was much fishing going on last year,at least no one from usa,if you have a webcam in the boat the border guard I'm sure is watching,don't keep anything over 18 inches"
6590192,eyecatcher1,2021-08-14 11:56:00,323,"A few years ago I got my butt chewed by a game warden at a roadside check on 502. He asked why I didn't have any over slots and I told him that I release all of those. He said the rule was 1 over and 3 under for a reason and I better start keeping overs in the future. I have since then, but have seen negative things about that lately, so my limit next week won't have any overs in it."
6590202,skindzier,2021-08-14 12:19:00,137,"He was just plain wrong. The reg says ""not more than one over..."" Which means 4 under is fine."
6590206,Wallychowder,2021-08-14 12:52:00,1567,"Over the years i have run into a few that have been "" just plain wrong"" I think alot of them need a ""refresher course""."
6590216,pjshorthorn,2021-08-14 13:13:00,5654,He or she was just full of badge bravado. You can keep two or 4 depending on which license you have chosen. Nowhere in the regs has it ever said that you have to keep one over the slot. I’m not keeping one over the slot as those fish tend to be the breeding stock and the future of a fishery.PjShorthorn
6590228,Eckohlt,2021-08-14 14:20:00,3685,"My wife is Asian and if you keep one over 30 in I can feed every Asian in my city,plus a sht load of rice"
6590260,prov1800,2021-08-14 18:32:00,5010,So wife and i got out after having got back from Winnipeg.Needed some quite time.Man that place is noisy.We got out on Cedar this morning for some casting.Quite at Clarks but some vehicles parked in back for flyouts.Saw 4 boats today so still not much traffic.Saw 4 muskies had one on but it came off right away.Lots of pike again but slower than usual and nothing very big.Walleye fished just before we went to load up.18-24 f150 seemed best.Saw huge schools go by pretty steady on my lowrance and we did good .Had 2 good limits of eaters in no time.Caught and released a bunch more.1/8 oz jig and a juicy minnow did the trick.Hot day again after 4 days of cool front and pretty windy south wind at 30 km.Had a great walleye supper done on BBQ again.No fishing pics.lol.
6590326,Eckohlt,2021-08-15 06:36:00,3685,"Doesn't get any better than that,those minnows are the ticket for you john,juicy n free,,,,jack pot"
6590464,prov1800,2021-08-15 14:31:00,5010,Minnows at 25 ft.
6589858,v-bay gord,2021-08-13 07:30:00,3168,"Here's my report........fishing has been great, you should have been here."
6589866,Eckohlt,2021-08-13 07:50:00,3685,Not yesterday nor a week ago but a year and 3 months ago
6589888,prov1800,2021-08-13 08:39:00,5010,Iam surprised your not up here yet.
