1079057,David Chong,2022-03-09 14:29:00,836,They look great!!!!
1079118,SirCranksalot,2022-03-13 02:44:00,3291,"An update---bud and I went to Lake X in Muskoka yesterday. Marking fish was a rare event except at my buds hole # 5, 6, or maybe 7 late in the day. He caught 3 or 4 small lakers on his Simcoe bug. He doesn't use a drop shot rig----just the bug with a pinhead minnow hooked thru the nose. Pinheads were all the shop had. The prev time he had done the same with a 2- 3"" minnow.  I used a drop shot with a Meegs at the bottom tipped witha variety of things---3 or 4 pinheads, a chunk of worm, and other things. I had one of my bigger bugs tipped with a pinhead about 40 cm up the line. No takers, but then again very few lookers. I guess you can display all sorts of delectable goodies in your store front window but if there is nobody passing by to see them then you are SOL. He is more patient than I am. It seems to take forever to sink 70 ft. It seemed even longer when I tried it with Berkley Ice line-----maybe that's a bit buoyant, not a true braid. Maybe one more try next week on Lake Y.  BTW, he mentioned that his Simcoe bug had tungsten which I guess is quite heavy. Does your have tungsten or some other metal? thx"
1079126,misfish,2022-03-13 17:09:00,29133,LEAD WRAPS AND BRASS BEAD I will make tungsten next time.
1079244,Sinker,2022-03-18 18:00:00,8692,A dime of what? 😂
1079246,akaShag,2022-03-18 18:24:00,2073,That would be EARLY 70s...................
1079248,misfish,2022-03-18 19:31:00,29133,"Late 70,s early 80,s. Back then,3 could dine on a dime. LOL "
1079276,SirCranksalot,2022-03-20 01:41:00,3291,"Thx. I didn't know there was such a thing as lead wrap. I know a guy who was doing some DIY bugs and he was using copper wire, I think. I assumed that you had used it as well. I am guessing that tungsten heads are used mainly to get them to sink faster."
1079902,SirCranksalot,2022-04-23 02:28:00,3291,been out to the river yet? It has dropped a lot and cleared quite a bit too.
1078727,misfish,2022-02-19 15:13:00,29133,I do not add bait to my stuff. I tie them so I do not have too. 
1078729,akaShag,2022-02-19 15:49:00,2073,"It was this part that made me ask the question.  I DID think that you were fishing the bugs bare, then I saw the word maggot. Doug"
1078731,misfish,2022-02-19 16:57:00,29133,"One is a maggot the other blood worm. Can not stay long,got another order to fill. LOL "
1078735,akaShag,2022-02-19 18:09:00,2073,Please tie more of the reds and check your e-mail. 😉 Doug
1078796,fishon64,2022-02-23 17:57:00,15,Do you have any left for purchase?
1078798,SirCranksalot,2022-02-23 18:02:00,3291,Will your online catalog be up and running soon?
1078802,misfish,2022-02-23 18:25:00,29133,PM sent
1078803,misfish,2022-02-23 18:26:00,29133,It would seem word of mouth and some posting is working just fine bud.
1078804,SirCranksalot,2022-02-23 18:39:00,3291,Jes joshin widya---that's all!!😁
1078805,misfish,2022-02-23 18:41:00,29133,"I am looking forward to putting out a new high hook perch fly next season. It has been proving to be doing well,,,,,,,,,,,,,,,,, "
1078806,akaShag,2022-02-23 18:44:00,2073,Perch season isn't done yet!!!
1078950,SirCranksalot,2022-03-03 16:26:00,3291,"Well, I have tried those bugs a couple of times for lakers. First time I went with great expectations hoping to catch that 15, going on 20, lb one that my bud caught 2 weeks ago. Not a nibble. My bud had his tipped with a full minnow so I tried that as well as bare bug. I have let it sit on the bottom and jigged(jug?) it sometimes. Not a nibble on Tue either.  A few tips, maybe?? If I don't catch anything, or at least get a nibble, on the next couple of tries I am going to have to return them for my money back guarantee!!😁"
1078951,akaShag,2022-03-03 16:29:00,2073,"Are you using it as a dropper, or your main lure?  I think the effectiveness of a dropper is sometimes a fish wants a snack, not a meal.  The bottom lure catches their attention, and the bug gets the bite."
1078952,misfish,2022-03-03 16:31:00,29133,"Maybe your friend lucked out, they are perch baits after all.LOL"
1078975,SirCranksalot,2022-03-04 00:43:00,3291,"Maybe. I first heard of a Simcoe bug about 3 weeks ago when a guy on another site(LSO) who lives near Haliburton posted pix of good sized lakers that he caught on a bug. That's why I tried to find out more about them. We were fishing 60-80 ft so it was taking forever to sink, even with braid. When it finally reached the bottom it was so light I could not feel it so I added a sinker about a ft or so up. That may have ruined the action. This guy apparently uses very light line---4 lb----to catch good sized lakers. Takes finesse, I guess.  In Muskoka my bud also caught a 4 1/2 lb laker on the same bug earlier in the day, so not a fluke I guess."
1078976,SirCranksalot,2022-03-04 00:48:00,3291,"Thx, but I don't really understand what you are describing.  I am not sure what you mean by a dropper in this case. Are you saying that you use a lure or minnow at the end of the line and a bug further up?"
