1080092,Mr Greedydrift,2022-05-07 22:25:00,25,"I would still buy long shaft anyway, it will tilt up if you go shallow."
1080093,John Bacon,2022-05-07 22:33:00,3277,"Probably short.  Almost all small boats are.  You can measure it.  I think it should be around 15"" for a short shaft and 20"" for a long shaft."
1080094,Terry,2022-05-07 22:41:00,14456,Looks like a short to me get the right one for the boat the best performance is when the cavitation plate is level with the bottom of the boat or a hair above
1080095,porkpie,2022-05-07 23:05:00,2521,"I hate to parrot, but that's almost certainly a short!"
1080096,Fisherman,2022-05-07 23:25:00,7201,I would say yes.
1080097,misfish,2022-05-07 23:41:00,29133,"Look at the boat Monday,make a deal. Found a motor,make a deal. Lets hope this works out. Thanks to me buddy that will let me store it at his place .  Now the next question, whats new out there for locking the motor to be anti theft ? "
1080098,Terry,2022-05-08 00:13:00,14456,Drill some holes and bolt the motor to the transom hammer the end of the bolts so the nuts are hard to take off
1080099,John Bacon,2022-05-08 00:31:00,3277,Not really new...  https://www.canadiantire.ca/en/pdp/shoreline-outboard-motor-lock-0798595p.html?gclid=Cj0KCQjwsdiTBhD5ARIsAIpW8CISM88Y9X93bqd7OmNIj0H4eKw2z5_6KwnarpV6P9ybemUlmJx1yEIaAjZfEALw_wcB&gclsrc=aw.ds#store=427
1080107,Sinker,2022-05-08 16:44:00,8692,"If your worried about theft, insure it. Wont cost much. If someone wants it, its gone, no matter how you lock it up.  Will be nice to see you out trolling. Any other odds and ends you need? I have tons of stuff here i will likely never use that is useful. S."
1080109,misfish,2022-05-08 17:56:00,29133,Scotty electric down riggers. 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣
1080115,misfish,2022-05-09 10:19:00,29133,Maybe going gas is a mistake. $1.99 this morning. Atleast the lake is only 5 min away. 😆 🤣
1080116,Fisherman,2022-05-09 12:34:00,7201,"I can't see the gas staying this high forever,  sooner or later people won't be able to afford to drive to work and you can only do so much car pooling."
1080118,lew,2022-05-09 12:52:00,12766,Just saw Dan McTeague on the news and he's expecting we'll be paying $2.10 next week.
1080121,AKRISONER,2022-05-09 14:19:00,5558,"until you see an actual dip in the demand, the price will continue to soar."
1080152,DRIFTER_016,2022-05-10 17:09:00,10439,I just use one of these on my small outboard. https://www.canadiantire.ca/en/pdp/shoreline-outboard-motor-lock-0798595p.html#store=453
1080173,cmurn,2022-05-11 16:02:00,2,Have you found a motor yet. I have a 9.9 yamaha electric start used it for one season (bought brand new) to small for son and I. I just bought a new 20hp
1080175,misfish,2022-05-11 17:22:00,29133,Where are you located? Will pm if close to Barrie. Thanks
1080176,cmurn,2022-05-11 18:04:00,2,Have you found a motor yet. I have a 9.9 yamaha electric start used it for one season (bought brand new) to small for son and I. I just bought a new 20hp  In Peterborough
1080196,Sinker,2022-05-12 14:10:00,8692,"I have 2 manuals if your interested. one big jon with a titelock clamp on gunnel mount, almost new. Also have a scotty with a clamp on mount. I forget which model, but the one thats 2 ft per turn retrieve. S."
1080027,misfish,2022-05-04 20:01:00,29133,"I have a chance to pick up a 14 ft princecraft tinny and trailer at a great deal. No motor. The areas I fish and launch from,a 9.9 will be fine. I am thinking of going new on the motor. I do not care if it,s 2 stroke or 4 .Merc,s seem to be the best price. Are they reliable/have issues ? Honda,s are nice,but $$$$$$$$.  Ya,I am getting out of the loony tooner float boat game.  Thanks to good friends,I can keep my boat at their places.  if anyone has a deal for me,I am all ears,,,,,,,,,,,,"
1080031,Fisherman,2022-05-04 22:52:00,7201,"Yamaha or Suzuki and none of this 2 stroke baloney, Yamaha is a bit more, $3900 for basic pull start, $4200 for electric.  Suzuki has a pull for $3.4k and electric $4.2 cash tax inc.  So you save a bundle on the Suzuki.  Personally I would never touch a Merc unless you want a heavy anchor."
1080032,chessy,2022-05-04 23:15:00,610,9.9 merc i had huge issue with mine 4 carbs later it now works... 
1080034,Rizzo,2022-05-05 02:01:00,4754,"I have owned a lot of different engines - Yamaha, Suzuki, Evinrude, Johnson and Mercury. The only one that left a bad taste in my mouth was the mercury"
1080035,Rizzo,2022-05-05 02:07:00,4754,oops...I have a Nissan too. Knew I was forgetting someone. The Nissan has been fine as well
1080036,glen,2022-05-05 03:07:00,2641,If I wasn’t going far or using it a lot I would get a used and even 2stroke if it was cheap.   	whatever you get make sure you can get parts.   	that’s all I got.  Good luck.
1080038,John Bacon,2022-05-05 03:09:00,3277,I think that Nissan would have actually been a Tohatsu with Nissan decals.  A 9.9 Merc would be a Tohatsu with Mercury decals.  	I haven't any any major issues with either my 2008 50hp Mercury or my 5hp Mercury/Tohatsu.
1080039,AKRISONER,2022-05-05 03:40:00,5558,"Yamaha, suzuki or honda  Pay now, or pay anyways but also get a headache or stranded"
1080052,DRIFTER_016,2022-05-05 15:27:00,10439,"Have been running Mercs since '91 with no major issues at all. Have a little 2 stroke for the tinny, had a 90 two stroke on my boat until 2013 when I replaced it with a 4 stroke 115. Yamaha's are good motors but more $$$ I hear the Suzuki's are good Honda's are decent motors but we found the lower units to be less robust than Yamaha or Merc when testing at the lodges on Great Bear Lake. They have been running 30hp Mercs for many years up there and they have been good motors."
1080053,bassboy19,2022-05-05 15:36:00,15,"I'd buy a used 9.9 Honda or Yamaha over a new Merc if I were in the market. Some great deals to be found on Kijiji or Marketplace. FWIW I currently run a 9.8 Tohatsu 4 stroke as my kicker on my Wilker but it also is remote steering, power trim, electric start, same specs on a Honda would cost an arm and a leg. Have had 0 issues with it to-date, starts every time, very reliable, and it gets a ton of hours put on it trolling every summer. As stated above, same motor as Merc and Nissan, their smaller engines are made by Tohatsu."
1080054,Terry,2022-05-05 15:39:00,14456,I have always had great luck with mercs and I’m known to be hard on equipment
1080055,CrowMan,2022-05-05 15:42:00,413,Regardless of the brand...try to get a motor that has fuel injection. Saves a lot of grief and headaches.
1080059,kuhaman,2022-05-05 17:08:00,503,"Take a look at Tohatsu, great outboards in my opinion"
1080060,misfish,2022-05-05 17:14:00,29133,"Thanks for all the replies guys. I have to see the boat,but have been told it is solid and so is the trailer.Hope to see Monday. He is holding it til I can look at it,which is nice of him, before he puts it up for sale. I have been watching for used,some decent deals. I want to get the boat first then go from there. I might head down to see my ole friend Paul at Top Gun. Maybe he has a jewel sitting around."
1080063,glen,2022-05-05 18:33:00,2641,I see merc has a 20hp with efi. 	but does anyone make a 9.9 with efi?
1080064,smitty55,2022-05-05 18:59:00,928,"Tons of older 9.9 OMC engines out there that are still running fine. Save yourself a ton of coin and find one that still has good compression and it will still last you for life. Still lots of parts for them available too like impellers, coils, lower unit seals etc. from what I know but might still be a good idea to check with a marina to be sure."
1080065,dave524,2022-05-05 19:11:00,4508,are not the smaller Merc's actually Tohatsu's ? 
