824496,hockeyplayerz_14,2013-12-16 03:25:00,160,nice report!
824514,EC1,2013-12-16 06:50:00,930,"There was mention of ice on a small lake close to Barrie,  the next day you couldn't find a parking spot.. Now everyone's gonna know where to look for first ice come next year! Forget parking there the first Saturday you're looking for ice next year now! On another note, nice fishies. Hopefully we'll get back out for some fishing this winter Purenewf!"
824515,fishindevil,2013-12-16 08:00:00,6254,Problem is purenewf years ago before the Internet people would actually have to read maps find lakes scout them out do all kinda of homework on the fishing spots and make several trips to find out if fishing was good or if the ice was safe !!!! Lots of work involved !!!! Now people just want all the info and locations and what bait you are using all from their couch so that they don't have to do all the grunt work !!!! They want someone else to do it all for them !!!!! Then the next day they jump in their car and go right to where you just posted about and now they tell a few people who then tell a few more and next thing it's ruined !!!!! It has happened many times and will continue to happen !!!!!! Not too mention the disrespect they bring with them like all their garbage and park wherever blocking people's driveways and climbing fences and not having respect for the resources or private property !!!!! And that's just a few of the reasons if its a big body of water and well known that's a little different but if it's a small lake or pond or small trout creek it will be destroyed in no time ..... Just sayin ....
824521,Big Cliff,2013-12-16 10:44:00,6899,"I realize the issue now. I was just pissed of the attitude towards me saying that the whole thread should be removed. I also realized we're lifers...so may as well stick around Don't worry about it, I've been around this site since almost the beginning and I've been slapped on the wrist a time or two for giving up ""secret"" spots. Now I very seldom post fishing reports other than I went fishing with my buddies and we had a super day. I never post pictures anymore because I was told that they can have the lat/lon imbeded in the file information.  Very different than when this site first started and you would post specifics because you wanted other people to come out and share the day. I think it's called evolution, not sure I like it though!"
824522,lew,2013-12-16 10:55:00,12766,"I think it's called evolution, not sure I like it though!  I agree with you 100% Cliff, things sure aren't like they used to be around here, and that's a sad thing."
824532,aplumma,2013-12-16 12:31:00,6896,This place started as a club and now it has grown into a community. The number of friends that I have made stretches from the beginning where I was member # 77 ( 4 boards ago) on into our future. I have found some of my friends have faded from the board but I talk to them in other media. The spirit of this place is still here as the core and that is share what you know and help the man next to you as best you can. As with all good things in life it is a 2 edged sword thankfully the sharper side is the one that makes this place great.   Art
824536,nancur373,2013-12-16 13:21:00,1211,Problem is purenewf years ago before the Internet people would actually have to read maps find lakes scout them out do all kinda of homework on the fishing spots and make several trips to find out if fishing was good or if the ice was safe !!!! Lots of work involved !!!! Now people just want all the info and locations and what bait you are using all from their couch so that they don't have to do all the grunt work !!!! They want someone else to do it all for them !!!!! Then the next day they jump in their car and go right to where you just posted about and now they tell a few people who then tell a few more and next thing it's ruined !!!!! It has happened many times and will continue to happen !!!!!! Not too mention the disrespect they bring with them like all their garbage and park wherever blocking people's driveways and climbing fences and not having respect for the resources or private property !!!!! And that's just a few of the reasons if its a big body of water and well known that's a little different but if it's a small lake or pond or small trout creek it will be destroyed in no time ..... Just sayin .... Agreed. funny thing is if they park on the street i mentioned originally there is only parking for 2 vehicles max and the homeowners are quick to call the enforcement for a tow and they act quick. Seen it many times lol
824550,BillM,2013-12-16 15:06:00,17367,"Don't worry about it, I've been around this site since almost the beginning and I've been slapped on the wrist a time or two for giving up ""secret"" spots. Now I very seldom post fishing reports other than I went fishing with my buddies and we had a super day. I never post pictures anymore because I was told that they can have the lat/lon imbeded in the file information.  Very different than when this site first started and you would post specifics because you wanted other people to come out and share the day. I think it's called evolution, not sure I like it though!  Cliff, as long as your GPS is turned off when you take the pic (I'm assuming you're taking one with your cellphone) no GPS data will be embedded into the pic.   Also, with services like Photobucket, EXIF data (The information attached to the picture) will be stripped away"
824555,ch312,2013-12-16 15:41:00,1590," Cliff, as long as your GPS is turned off when you take the pic (I'm assuming you're taking one with your cellphone) no GPS data will be embedded into the pic.   Also, with services like Photobucket, EXIF data (The information attached to the picture) will be stripped away  Yep.  Many people aren't aware that pictures taken with smartphone's will have GPS coordinates embedded, unless the GPS is turned off before the picture was taken. What is the purpose of this anyways? A somewhat hidden method for big brother to keep track of what people are doing and to help determine the location of illegal activities? I see no useful purpose?  It's funny when people take the time to blur the background of their pictures when with a few clicks of the mouse you can know the exact location where the picture was taken.  Best be careful when posting pics of secret fishing spots or grow ops you've found in the bush...."
824563,BillM,2013-12-16 16:34:00,17367,"People like to 'map' where they've been so their 1 million Facebook friends know exactly where they are, lol."
824565,mercman,2013-12-16 16:53:00,7054,"Great haul !!! Personally, I can see not posting specifics about small backwoods lakes and such. Small rivers, or little known ""spots"", but when you are talking about huge well known rivers and lakes, in and around metropolitain areas, well , it just doesn't strike me as being all that important to hide the background or access to this kind of location."
