4805706,MN_Moose,2016-05-05 06:50:00,964,"The Ice Patrol declared LOTW ice free yesterday 5/4 May 4, 2016: Gone!"
4810618,Rock Lobstar1,2016-05-06 12:38:00,134,Lake st Joseph was breaking up yesterday and should be ice free within the next few days. Lac Seul north of Sioux lookout was ice free but I couldn't see the main body of the lake so I'm not sure what conditions are there. If it's not ice free it won't be long.
4817002,tshea,2016-05-09 05:11:00,36,10 inches of ice on Gouin May 7th.
4817410,Draco1206,2016-05-09 07:05:00,175,Malcolm Leuenberger emailed me this morning that ice out on Cordingley Lake in Nakina was 7:00pm on May 8th.
4825162,octanehi5,2016-05-11 06:51:00,1104,The Gouin and north still locked up solid maybe one more week
4829570,mt hook,2016-05-12 13:12:00,65,Anyone no if Dalaney Lake is ice free yet?Thanks
4770202,Skywagon,2016-04-25 05:48:00,1106,"If lookout sue says May 9, it must be true."
4778570,Manitou,2016-04-27 08:48:00,125,Open water through Keewatin Channel on LOTW as of the 25th:https://icepatrol.files.wordpress.co...25_150619c.png
4780042,JDP,2016-04-27 15:56:00,1457,Very Cool Picture! Thanks Very Much For Sharing!
4780946,EddieNorth,2016-04-27 21:07:00,32,Heres a few recent pics around Beteau lake
4784354,Freytown,2016-04-29 05:55:00,770,The Baskatong reservoir in Quebec is open up...the Gouin will follow soon.
4785026,Walleye_Guru,2016-04-29 09:03:00,62,"Just got back from Nipigon. The lake is still socked in, but the peripheral tribs are starting to show signs of life. Pasha Lake itself (usually one of the last inland lakes to go in the region) has the shore lines breaking up only slightly. Prob another solid week for inland and at least two for Nipigon."
4786514,fishnwo,2016-04-29 18:20:00,16,"The ice is out on the Indian Lake Chain (Edward Lake), but not quite out on Cedar Lake yet. Click the link to see an aerial shot of Cedar along with some other photos of Cedar & Edward. We are getting there! Shouldn't be long now http://yournorthernconnection.com/ca...-april-29-2016"
4786818,v-bay gord,2016-04-29 21:18:00,3168,The ice is out on Vermilion Bay here on Eagle Lake . www.electricbeaver.ca
4792586,Rock Lobstar1,2016-05-01 16:45:00,134,I'd say wabigoon was ice free today judging by the amount of boats I saw launching today. If there is any ice left it won't last more than a day or 2. Below is a shot of Lake St. Joseph I took on my way to pickle lake Thursday morning. It's got a little ways to go but it was 15 C there today so it may go fast.
4799114,octanehi5,2016-05-03 10:56:00,1104,In Quebec the gouin and north still has a week or two left
4761738,port1042,2016-04-22 07:16:00,509,I look forward to your reports and photo's -- thanks! Does your flight path ever take you over Perrault Lake? I'd love to see it!
4761874,v-bay gord,2016-04-22 07:43:00,3168,Eagle Lake / Vermilion Bay as of yesterday evening.....http://www.electricbeaver.ca/blog/
4761970,fishnwo,2016-04-22 08:02:00,16,"We fly over Perrault quite often actually, but didn't think to take pictures of it! Unfortunately, our airplanes are officially off the ice for the season. The ice is no longer safe to land on. They are at the hanger getting floats put on right now... Sorry!"
4764442,Rock Lobstar1,2016-04-22 22:20:00,134,Minnitaki Lake today.
4764554,pjshorthorn,2016-04-23 02:58:00,5654,Looks like the beavers are snacking on the cabin's log siding.......... PjShorthorn.
4765746,Rock Lobstar1,2016-04-23 13:25:00,134,"Wabigoon Lake. You can see the yacht club, the ice road and the open water is where the river starts."
4765762,Rock Lobstar1,2016-04-23 13:30:00,134,North end of Rainy Lake.
4765802,P&y only,2016-04-23 14:09:00,133,how much longer you think the ice will hold in the ear falls area? another week?
4765874,Rock Lobstar1,2016-04-23 15:01:00,134,I really have no idea. I haven't been up that way in a little bit. I'm just taking pictures as I'm flyin around. Next time I fly over Ear Falls I'll take a pic and post it.
4766906,blewslb,2016-04-24 06:31:00,53,May 9th ice out on Lac Seul! From a known citizen of lookout sue.
4740730,115 optimax,2016-04-15 19:53:00,650,+20c today with a Rain Storm Advisory for the next 2 days that will give the ice a beating. Up to 55mm of rain...
4747170,WDMJigger,2016-04-18 12:04:00,4,I don't see your April 15 report on your website. Am I missing something?
4753450,roscoe33,2016-04-19 23:42:00,653,Satellite shot showing some breakup on LOTWhttp://ge.ssec.wisc.edu/modis-today/...esolution=250m
4755890,Walleye_Guru,2016-04-20 14:46:00,62,"May 7 by 12:43pm. Nipigon ... May 16th by 3:22pm. With some ice still floating.... Will send updates on Nipigon, Onaman Lake and of course our little jems in the region!﻿"
4757858,Freytown,2016-04-21 06:58:00,770,"As of yesterday (4/19), Reservoir Gouin had 30 inches in the South Bay section. That's going to take some time to melt. Old man winter lingers!"
4759786,fishnwo,2016-04-21 14:08:00,16,I'm sorry about that! Something obviously went wrong with that post... it's up now.http://yournorthernconnection.com/ca...-april-15-2016 I've got another one coming out in the morning! A lot has changed in a week!!
4759834,Limeyangler,2016-04-21 14:21:00,563,"Its going fast here in Dryden, had to take the quad out front of the house and try the new snorkel kit on Mondayhttps://www.youtube.com/watch?v=ainIVHzjX_w"
4760298,octanehi5,2016-04-21 16:52:00,1104,"The Gouin and to the north should be out by the 3rd week in May,May first the weather starts staying above freezing for days at a time"
4760410,prov1800,2016-04-21 17:29:00,5010,Bring the googles
4761706,fishnwo,2016-04-22 07:01:00,16,http://yournorthernconnection.com/ca...-april-22-2016 It's turning black! And breaking away from the shoreline! Yippee!
4709394,prov1800,2016-04-06 07:23:00,5010,"Well me and my buddy managed to go for crappies yesterday. Little sketchy getting on the lake.Creek had opened up quite a bit. We did manage to crawl along the bank and get out to main lake.lots of ice where we fished.had a good 15-16"" of solid ice.crappies didnt disappoint us.plenty of action in 18-20' of water.teavelling on main lake was great.back at our starting point ice had deteriorated quite a bit more.i hit the throttle and went in between shoreline and open water.broke through three times but had enough speed to keep going till i got to our trail.buddy had to stop he wouldnt of have made it after i broke the ice.he headed closer to shore and broke through. I walked back to him and he was up to his waist in water winch thecwinch cable.we winched it up on some downfalls and slowly winched it along the shoreline.two hours later we had it on the trail.heck of a adventure.wong be going back there."
4715746,canyon,2016-04-08 03:38:00,37,"For all of those interested in Quebec particularly near Val D'or I was talking with a co worker who does a lot of ice fishing there. He said they have had record highs in November, December and January but since then it has been cold. In March they had a warm spell that had the ice down to 18"" but since it has been cold and they have seen the ice thickness increase up to 3 feet and they are having another snow storm today."
4718298,fishnwo,2016-04-08 19:06:00,16,"Not much has changed around here in the last week... besides cold weather and lots of snow! Here is our ice report for April 8th (with pictures) for Cedar Lake, the Indian Lake Chain, and surrounding area... http://yournorthernconnection.com/ca...t-april-8-2016 We will continue to do weekly reports and try to include some aerial shots in future posts."
4718314,fishnwo,2016-04-08 19:12:00,16,On the topic of ice conditions... here is a true story about how dangerous heavy snowfalls and currents can be when it comes to thinning out the ice... it'll have you on the edge of your seat! http://yournorthernconnection.com/ca...ng-on-thin-ice
4721834,115 optimax,2016-04-10 08:22:00,650,"Crap load of snow again last night,good news is Temps in the high teens starting Wednesday ."
4721882,prov1800,2016-04-10 08:39:00,5010,Looking forward to that.time for a positive change.
4722034,Manitou,2016-04-10 09:30:00,125,"That was a good read, passed it along.We're supposed to get temps in the 18°C range by the end of the week here.That's in the 60°F range, woohoo!"
4730586,prov1800,2016-04-12 13:54:00,5010,Iam with you.doesnt like like any below freezing nights. This might be it now.hoping to head out wed and thurs.will try to stay on top of the ice this time.
4739538,prov1800,2016-04-15 12:44:00,5010,Well did get out for lake trout yesterday.surface of ice is pretty mushy.foot of ice.startedceainjng steady yesterday at.going to be some prettybthin ice by the end of next week.hanging up my ice fishing gear for the season.been another super year.
