393733,anders,2009-10-16 18:01:00,1168, Thats the most sensible thing i read on this board all day.
393741,MCTFisher9120,2009-10-16 18:56:00,3761,Soo true lol
393747,Guest ThisPlaceSucks,2009-10-16 19:48:00,0,"while off work, the honey do list picks up the slack. hopefully fishing tomorrow morning somewhere."
393769,aplumma,2009-10-16 21:07:00,6896,  Gee and that is before you figure that The rocker was a full blow alternative lifestyler (not that their is anything wrong with that)(just so I can be politically correct).... but man could he sing.   Art
393771,aplumma,2009-10-16 21:10:00,6896, No alcohol but you might need a shot of penicillin after Dawg gets done.   Art
393780,Tybo,2009-10-16 22:00:00,1373,"Hold fast; Build a rack for the boat and store your gear as close to the cab as possible. Get some used snows on all 4. It will be like driving a new truck. A Friend and I would back country to some lakes. That only been named recently. It,s harder to load/unload,but it will make a world of difference on the truck."
393782,Terry,2009-10-16 22:03:00,14456,Yeah well  My dodge dakota will go anywhere      if you tow it
393787,Tybo,2009-10-16 22:16:00,1373,"Thats not true Terry. It will go into the snow bank,red lights,ditchs,etc,etc."
393820,Harrison,2009-10-17 00:11:00,2202," HAHA, seriously, I took mine places guys still shake their heads at."
393839,Dara,2009-10-17 01:45:00,3052,makin it 6 in a row
393564,holdfast,2009-10-16 02:40:00,1813,"All I can say is that I wish I had that Nissan over my 99 Ford Ranger.  I would of never made the start point at the Bottom of the Hill.  Its snowing now, the Last two weeks Record Lows, Farmers are Taking a Huge hit. This is when they should be thrashing.  Tomorrow plus 6, and Saturday plus 14.  I would have more confidence in that Pathfinder, going up the trail that I hope to fish Saturday  than using my Ranger that made it when the trail was dry.  By the way, I have a small dog, small truck, the Pathfinder is macho enough for me.   "
393571,Greencoachdog,2009-10-16 03:01:00,8163,"  Don't want to ""bad mouth"" you Holdie, but I don't really consider a Ranger as a truck... kinda like a little car without a trunk lid! Their handling on dry land is less than desireable for me... rain, snow, and ice only compound the less than desireable factors!"
393576,Dara,2009-10-16 03:11:00,3052,Now them little Toyotas from the 80's and 90's would go places...put a lift kit and some rubber on them and you had a machine that would do some boondocking
393581,Seeker,2009-10-16 03:28:00,7," Agree.  As my father in law says, ""the right combination of light, height and fight."""
393582,BassAsin,2009-10-16 03:31:00,806,"Am i the only one who laughed his balls off at the ""nice moustache"" line?  Thanks doc"
393585,GBW,2009-10-16 03:46:00,8460,"nope, me too.  As for Nissan's, I had a 1985 2WD king cab pickup and that thing took a BEATING!  I mean, hill climbs, distance jumps, jumps when all you are after us as much height as you can get.  You name it other then a smash up derby my old 85 did it.  Gave it to my cousin at 255,000KM and he put another 140 on it before it died.  It only died because he did the work on it and didn't replace a gasket 100% so it spit fuel and light fire when driving.  It was a good old girl..."
