493881,thefireman,2010-08-12 19:45:00,51,I can't believe that there is 3 pages to this thread! Gone fishing........
493501,Terry,2010-08-11 12:46:00,14456,yes but you can not have more then you daily limit in you possession at any time.....which means you must have one under the limit to keep culling which is what has been say here
493508,MJL,2010-08-11 13:13:00,2427," I've been wondering exactly the same thing.   As far as limits, possession and catch and retain go go, I’ve always been told by the COs over the years that catch and retain limits are just that…You catch a fish and then stick it on a stringer, dump it into a cooler, put them in a livewell, dump them on shore (obviously for pick up).  Once you’ve decided to harvest that fish and hold the fish using one of those means, then it counts towards your limit.  In most instances (unless stated otherwise), your possession limit is the same as your daily catch and retain limit.  If you catch 2 walleye and stick them on the stringer (assuming the walleye limit is 2), you CAN continue fishing for walleye.  You just CANNOT keep any.  Similarly, if you have 2 walleye in your freezer, you CAN fish for walleye the next day…You just CAN’T keep any till you have eaten 1 from your freezer or given 1 away.  Catch and retain and possession DO NOT include unhooking, taking photos and then releasing.  If it did, guys sporting Conservation Licenses wouldn’t be able to fish for muskies (where in most instances the limit is 0) – But they can.  From an ethics standpoint, should you continue to fish for that species after you’ve caught your limit?  Or one where the limit is 0?  Probably not considering that not all fish that you catch & release will survive even if they swim away (i.e. they may have been mortally hooked).  Here’s a couple responses from the MNR http://www.mnr.gov.on.ca/en/Business/Enforcement/2ColumnSubPage/198397.html  Question Re: Daily Catch  If I went fishing for bass yesterday and kept my limit can I keep the bass that I catch today?  Answer: How many fish a person may keep depends on how many fish of that species they already have in their possession. Keep in mind that fish limits, both daily limits and possession limits, can be either about species (like yellow perch or northern pike) or a combination of species (like largemouth and smallmouth bass together or walleye and sauger together).  Possession limits are the number of fish a person can have in their possession in any location whether the fish are live in a live-well or in a refrigerator freezer at home or at a fishing lodge.  If all of the bass that were caught yesterday (a limit) are still in your possession today you may not catch and retain any more bass. You may practice catch and release fishing for bass as long as you immediately return any bass you catch to the water you caught them from.  From Ask a CO website http://www.outdoorontario.net/AskMNR/mnrfaqfish.html  Question 17:  After one has caught & kept a limit of fish, is it legal to continue fishing for that species of fish?  Asked on October1/99  Answer from the MNR:  As long as you do not 'catch and retain' over the legal limit for each species of fish you may continue fishing.    As far as catching your limit and giving it to someone else (a friend, mother, anybody), it sounds like (as Rick mentioned) possession ceases when you hand over the fish - Not when they eat it (So long as their freezer is not in your own house)  Response from the MNR - Ask a CO From same link as above  Question 38:  Does a person need a fishing liscence if they have fish (ie. salmon) in their possession (freezer) even if the fish was given to them? Can i legally give a fish i caught to someone who doesn't have a liscence or might they be in violation of the act?  Asked on November 15/99  Answer from the MNR:  There is absolutely no problem with you giving fish to a friend or anyone else and they do not need a fishing licence. The same goes for game and is widely used by hunters who have participated in the OFAH food for the need y project.  That being said, there are a couple of points to remember.  A. Those fish still are part of your daily limit. In other words you cannot take your girlfriend out fishing with you even though she does not fish, but ‘give’ her a limit, so that you can catch a second limit on the same day. The actual wording is “catch and retain in one day or possess”. You could, however, catch a limit of walleyes today, take them home and give them to your mother-in-law (hey, this is hypothetical!) then go out the next day and catch a limit for yourself. Remember that fish in your freezer are part of your limit, so you cannot have six, ten, or twenty limits of walleye in your freezer at home, even though you only took them six per day.  B. Possession limits apply to the receiving individual as well."
493517,Gerry,2010-08-11 13:30:00,257,I think that what is being misunderstood here is that a fish on your line counts towards your possession limit. It is for this very reason that tournaments have the 1 under possession limit. You can continue fishing and catch another fish without being over limit. I know this a technical point but those are the rules.
493526,Roy,2010-08-11 13:52:00,13728,"It's not nuclear physics, folks. What I find interesting about these threads is that for years, people here have been extolling the virtues of catch and release to the point of even berating others who would post fishing reports showing perfectly legal fish limits. Now we have threads that go on seemingly forever, searching and even manipulating the regulations looking for that extra fish to keep on the stringer or in the livewell. What gives?"
493532,Michael_Brown,2010-08-11 14:14:00,411," The walleye tour is an american series. I would assume they have very few Canadian events unless they want some really good action. You may not be bragging about any of your fisheries (BC?) but besides the fantastic walleye fishing in northern Ontario, we have the Bay of Quinte, you may have heard of it? Possibly the best big walleye fishery in North America. Of course you could make the arguement that Lake Erie is the best, oh yah, that is Ontario as well. Do the 50 fish days at Rice Lake count? Let's see maybe you were talking about another Ontario?  I'm quite willing to brag that I live in some of the best walleye water in the world."
493533,Harrison,2010-08-11 14:19:00,2202," We do, I guided quite a few avid walleye gents from the states on Quinte.  Big Boys from Wis, SD, Ill and Minn, they are beyond jealous we have this fishery here, especially B of Q.  One asked if my Sis was single, he'd like to relocate.  I know a few other gents that guide out there that will echo the above."
493535,Guest gbfisher,2010-08-11 14:20:00,0,"Lots of ambiguities in the Regs which can leave you open to a fine. The fact that you might have to defend yourself in court because of such ambiguities is just wrong. We all should be able to know our rights. What we can and what we cannot do. The way the regs are written...knowing your rights in not possible. So take your chances and hope for the best. From one MNR officer to the next, a reg will be interpreted differently and can get you a court date like it or not.   I guess you could just pay the fine...."
493536,Dave Bailey,2010-08-11 14:21:00,1641," Having trouble getting my head around that. Do you mean that if I catch six fish in one day I have to stop? To me possession means possession, if I haven't got more than six at any one time then to hell with how many I have had during the day. If that is truly what the law means then, to quote Dickens, ""the law is a ass."" (Oliver Twist, chapter 51, p. 489)"
493546,bigfish1965,2010-08-11 14:57:00,3382,"Okay...I will see if this makes things a little less muddy.  Culling... Yes you can cull certain species. Tournaments use a five fish limit because the act of measuring or weighing a fish to see if it a keeper or not can be viewed as placing in possession since it is not an immediate release. It has nothing to do with it being on your line. Once returned to the water, it is now no longer part of possession. This is a new law.  Slot fish... Fish that are not legal to possess must be returned no matter what. Since it is not possible to know whether or not you can keep it without measuring it, that leeway is given...but if it is within the slot..back it goes. This law supersedes the possession laws.  Possession limits apply to all people whether they are licenced or not. If they are angler-caught, they are part of possession."
493547,Billy Bob,2010-08-11 15:03:00,5865," OK then, as someone else mentioned then.....if I give 3 walleye to a conservation licensed fellow he is now violating the law but if I give the same 3 fish to a non licensed fellow he's not in violation of the law ?  You can see how some of these regs are not written very well."
