2005561,bellbuoy,2013-08-04 19:12:00,490,Hilarious!!
2036106,oldccm,2013-08-17 10:26:00,109,So how did the trip go?
2036810,Guest,2013-08-17 17:56:00,0,"Trip was great. My buddy got his passport in the mail the day before we left, so that never became an issue. We caught the majority of our fish on leaches on a long snell with a floating bead. Mostly fished the reef to the north and east of Pine Island on Big Sand. Biggest walleye was right at 26"", but we caught 13 others between 25 and 25 1/2"" and countless 23 and 24"" fish. Biggest northern was around 34"". We averaged 30 to 40 fish per day (three in the boat), that's all species. Most of the walleyes we caught were over 20"", which was fun. Got to see a bear and her two cubs on the shoreline, so that was really cool. We also got to meet Vic, Jim and their wives. Great folks and it sounds like they might be able to help my son and I out on an ice fishing trip to Lake Winnipeg in March! Already looking forward to next year."
2040937,oldccm,2013-08-19 15:21:00,109,"Awesome. I haven't seen Vic at the office since he got back. Vic, Jim and the wives are great people. We're on LW a lot and March is definitely the time to be there. Glad you had a good trip. Let me know when you come up and ill make sure I'm around. Glad the passport thing worked out too!"
1996089,10point,2013-07-31 14:25:00,102,Lasy year one of our guys left his passport at our camp. I thought I was going to have to leave him in Canada. He gave his ID and explained what had happened and he got back in the US no problem.
1996097,oldccm,2013-07-31 14:27:00,109,"Bait is available around town. We had a bad year for leeches. Paid $50 for a bag full with close to 90% being 1"" or less (not happy). Fuel prices are retarded so if you can pick up on the way. If you're coming up through MB there's a Shell & Esso side by side on HWY 1 about an hour before Ontario border. Gas there was 20c less per litre. Kenora was 10c less and Minaki was about $1.70L which I think is almost $6.50 gallon. I'm not sure if you said how many days your going but troll, troll, troll until you find them. People are very helpful, might not tell your their spot but will at least give you general areas. Duane and Mandy at Paradise are quite helpful with who's catching where if you stop by for gas or bait. Last time I was out Duane spent most of his time up at Big Sand beach area. Buddies name is Vic & Nic. Good luck, I wish I could make it but looks like ill be fishing a couple smaller lakes in the Whiteshell (MB) as home is Winnipeg."
1996377,troutwater,2013-07-31 16:11:00,299,What state do you live in? Someone was on here a few weeks ago and had expired passports. They said they called up IL senator Mark Kirk's office and them in a day.
1996665,Guest,2013-07-31 17:56:00,0,"We are staying for a week and generally have to fill the boat once while we are there. I will bring a couple empty 6 gallon tanks and fill them at that Shell Station. Will only fill it a little over a 1/4 of the way, but every bit helps. We are actually staying in Winnipeg on Friday night at the Casino hotel on the west end of town (Regal maybe?). When I was a kid, we would drive to Whiteshell Lake and a boat would meet us at the dock, take us across the lake, where we would load up jeeps and travel overland to Crowduck Lake. The resort was ran by a guy named Ken McKenzie (I think that was his first name) and his wife. We always did a portage one day to Saddle Lake for walleyes. Ken would fly our equipment to the lake and always let us kids ride with him in the float plane. Lots of good memories from that area!"
1996697,Guest,2013-07-31 18:05:00,0,"I said in my previous post that the casino/hotel was on the west side of Winnipeg, it's on actually on the East side. Trout--My buddy talked about calling Senator Grassley, but I think time has ran out. I spoke with him earlier and he is very hesitant to try crossing without a passport. It might be just my son and I on the trip. Thanks for the advice though, I wish I had posted this about four days ago."
1997329,oldccm,2013-07-31 21:21:00,109,Crow duck is a great place. Run buy bill and nick kolansky now. I don't think there's a float plane anymore but i think they keep boats and motors in saddle if you make the hike. Went there a couple years ago and did pretty good. Will have to get back out there again soon.
2000033,unclepaully,2013-08-01 23:09:00,112,"It turns out you don't need any id to get into the states...Right before we left for our trip a few weeks ago my buddy said we have to swing by his dad's place to pick up his dad's girlfriends passport. They were camping the week before we went up and she left it at home. Long story short, we were a few hours from crossing the border and getting her passport to her and the dad calls and says no need, we made it across. She had no drivers license, no birth certificate, nothing. The dad said it took just a few minutes and they let them both back in."
