473879,Pigeontroller,2010-06-09 00:41:00,2793,Dave does great work!
461818,TroutnMuskieHunter,2010-05-01 11:04:00,1362,"I've been thinking about how to get the new boat set up for rod holders and am having a difficult time trying to decide how/what to do..  I've looked at many options such as the traxtech setup http://www.traxstech.com or this one http://www.trojantackle.ca/index.htm  Does anyone have any suggestions or tips before I start DRILLING   holes on my boat????....  I took a couple of pictures of the where the rod holders or trax system would need to go...  Thanks, Steve    "
461823,skeeter,2010-05-01 12:24:00,1907,the track system would give it a good resale value. and it looks neat and you can move the holders where ever you want. good idea  btw:: your link doesnt work !!!!!!!!
461825,TroutnMuskieHunter,2010-05-01 12:39:00,1362, Fixed the link.....thanks skeeter!
461840,SlowPoke,2010-05-01 14:20:00,2984,"You'll want a perfectly flat mounting surface for tracks; I'm not sure you'll find that with your gunwales. As much as I love the track systems, I think I would avoid it for your boat."
461845,Roy,2010-05-01 14:30:00,13728,"Brian is right on the money. Mount them on the carpet using 6-8"" towers, depending on the height you need. Try to PM Uncle Buck...he made mine and did a great job."
461847,TroutnMuskieHunter,2010-05-01 14:40:00,1362,   Thanks guys....that was my worry having gunwales that are not totally flat....the downriggers will definately be mounted on the back casting deck....I'll try to see if I have enough room for the towers!!
461850,SlowPoke,2010-05-01 14:46:00,2984," Don't rule out tracks, they're a great system. Consider ways of working with them. Depending on your interior, you could consider an elevated L shape with the tracks flush to the inside of the gunwales using risers. Just a thought."
461861,Handlebarz,2010-05-01 15:53:00,3790,Dave at Trojen tackle makes some great set ups for sure.  I have also seen some of the work from Goran (Uncle buck) he does great work also either will be able to help you out for sure and it will be built to you boat.  Cant wait to see the finished product.
461864,irishfield,2010-05-01 16:10:00,26272,"Always makes me wonder what the manufacture is thinking when they don't consider the boat is for fishing when they're designing it!!  Does the inner edge of the gunnel have a ""sport trac"" like a Lund? Traxstech sells mounting brackets for that now so you can put on and take off full length tracks without drilling any holes.  If it doesn't.. another option would be to adapt/manufacture similar brackets to hold the tracks up over the gunnel and bolt them into the inner side of the gunnels, but I can't see them in the picture to see if there's any ""meat"" there to attach to.  As others have mentioned pedestals, but you are also taking away from interior space using them and depending what all you want to mount you may be a tad track shy. Doing an L across the back and, in my opinion, having it in your way if you want to use the transom area of the boat to board/net/etc could be a PITA. I consistantly use all the track on my boat (each gunnel.. a 4 footer at rear and a 3 footer further forward for when using planner mast)..  you can't have too much.  I would stick with Pursuit/Transtech or Bert's.... or one of Goran's creations that will work with either of these systems. Allows for off the shelf purchases of accessories, pedestals, swivels, holders, etc."
461870,TroutnMuskieHunter,2010-05-01 16:26:00,1362,"Thanks for the detailed reply Wayne..I'll take some more pictures of the gunnel and the transom and post them this afternoon....I agree, I really do not want to make the transom area so busy that it will be a pain to do anything from the rear of the boat...."
461887,TrojanT,2010-05-01 17:46:00,2,Hi Dave here from Trojan Tackle...80% of my work is custom...tracks will work but I prefer risers off the carpeted deck  on this type of boat as well. How can I contact you ...you can e mail me [email protected] and I wil call you to discuss if you wish. Concepts and rigging discussions are free
461888,TroutnMuskieHunter,2010-05-01 17:49:00,1362, Thanks Dave....  I'll send you an e-mail shortly!
461890,young_one,2010-05-01 17:59:00,620,"My family has the same boat, Tracker Tundra SC. The most hardcore trolling we do is in the fall for BOQ Walleye. We went to metal supermarket and bought small half rectangle aluminum bars. Its bolted to the inner wall, on top of your life jacket. This 'plate form' is just tall enough so that the rod holders we bought can reach over and short enough to not be a visual distraction. There are predrilled holes to bolt Scotty rod holders. We can also take the whole thing off when we want. My explanation isn't very precise, I can send you more info if you need.  If you are down-rigging for Salmon, its probably better to spent the big money on the professional equipments.  I personally do not like drilling too many holes on my Boeing Engineered aluminum alloy."
461891,Gerry,2010-05-01 18:01:00,257,Here's my setup.  http://i129.photobuc..._2006/Boat1.jpg  http://i129.photobucket.com/albums/p222/Firetiger_2006/Boat3.jpg
461892,TroutnMuskieHunter,2010-05-01 18:02:00,1362, I'm mainly trolling for Muskie and Lakers...there will be a couple of fall trips to Quinte....hopefully I'll be rigged up for Salmon next year.
461910,Roy,2010-05-01 20:30:00,13728,"Marc Thorpe uses Trojan Tackle equipment and I must admit, they are pretty hard to beat. He has the ""hockey sticks"" on each side of the boat and they really are solid units. In fact, I think that if you visit their website, you'll see Marc's boat and how his are set up for muskie. I might even have a pic or two of them here. Good luck."
461913,irishfield,2010-05-01 20:34:00,26272, 
461914,irishfield,2010-05-01 20:35:00,26272, I have a few pics of Marc's boat Roy.. I'll dig one up..  Here's a shot in the old boat..  
461925,Terry,2010-05-01 21:18:00,14456,is that a steeple in the back ground
461929,irishfield,2010-05-01 21:24:00,26272,Definitely.. 
461949,SlowPoke,2010-05-01 22:20:00,2984, I can't argue your reasoning but the L shape makes it substantially more sturdy when mounting riggers on or near the corners. Plus you can add a couple Salties at the back. Trade off... 2 seconds inconvenience vs. 6-8 hours on the boat with a slick setup.
473812,TroutnMuskieHunter,2010-06-08 22:18:00,1362,Thanks for all the replies guys....I decided to go with Trojan Tackle for the customized rod mounts..Dave does awesome work and I'm really impressed with the mounts he made for me...  Just finished installing them this afternoon.....Muskie opener is 10 days away here on the Ottawa R......I can hardly wait!!    
473823,lew,2010-06-08 23:02:00,12766,"Great looking set-up Steve, that'll work good for you !!  You'll like those safety wires for your rods too, they make for some pretty cheap insurance."
473828,Terry,2010-06-08 23:24:00,14456,sweet looking set up
473846,TroutnMuskieHunter,2010-06-08 23:41:00,1362,Thanks Lew and Terry....  Did ya notice there's a few extra holders in case I get some visitors showing up some time this year in this neck of the woods
