928956,manitoubass2,2015-08-11 15:43:00,11391,            Miigwich to John for making me make his own fishing thread ????  Trout looks AMAZING bud!!!
928960,4x4bassin,2015-08-11 16:12:00,1025,"Thanks for the report , that fish looks delicious !!!!"
928970,mr blizzard,2015-08-11 17:07:00,1589,"Thanks 4x4, smoked and sweet, haha my wife is in the x box second frame down"
928992,Joeytier,2015-08-11 19:20:00,3990,"I'm slobbering all over my keyboard over here, good lord that looks amazing"
928993,misfish,2015-08-11 19:40:00,29133,WTH. I share monster meals and you keep that fish for yourselves. Real nice John. LOL  Thats some good looking candy bud.  BTW  10 more packs of med ground beef at Zhers. $ 3.05 a pack.
929003,mr blizzard,2015-08-11 20:27:00,1589,"Joeytier , thanks man, longest 2 days of my life waitng for it to be done  Brian I will freeze some  candy  and send it your way if u freeze some of that beef and throw it on the plane LOL  Sorry guys I cant the quote button to function"
929017,misfish,2015-08-11 21:16:00,29133,  Brian I will freeze some  candy  and send it your way if u freeze some of that beef and throw it on the plane LOL    Just send a plane ticket one way. We will both be happy. LOL
929019,mr blizzard,2015-08-11 21:19:00,1589,:tease: :tease:let me talk to my accountant lmao
929025,Fisherman,2015-08-11 21:43:00,7201,"Never thought of tooth picking the chunks for smoking, good idea."
929043,Rod Caster,2015-08-11 22:31:00,5784,That meat looks ridiculously good. This burger I ordered probably won't hold a candle....
929067,mr blizzard,2015-08-12 00:09:00,1589,"Thanks Rodcaster lol  I was pretty happy with the result, I'll just cut back on the honey don't like honey, brothers recipe  Fisherman I used to lay them flat on the rack till I showed a pic to my brother, get more in with better smoke flow"
929229,Joeytier,2015-08-12 20:25:00,3990,The lakers around here have the same red tailing edge on the fins.  Gorgeous fish
929246,misfish,2015-08-12 22:21:00,29133,":tease: :tease:let me talk to my accountant lmao   Checked my pm,s and email. Guess it,s not a go. Oh well."
929250,Big Cliff,2015-08-12 22:54:00,6899,"I want the recipe for that salmon. I use to buy salmon jerky when I went to BC, haven't tried to make it yet but that looks close!"
929268,mr blizzard,2015-08-13 01:29:00,1589,"Joeytier yes they are a gorgeous looking fish for sure, I had to laugh in an innocent way,,,,when we first came up here our first fish caught were lakers, ,,,of course our then 16 year old said are they clipped or natural lol Thanks for replying, means a lot , I will pm u tomorrow there is a reason why lakers mean so much"
929269,mr blizzard,2015-08-13 01:41:00,1589,"Brian ,,,,,,,,,,,,,,,,,,,Yes I have heard HAMBURGULARS have been known to be PENNY PINCHERS!!!!!!!  Damn that was a good comeback  :whistling:  lol, your a good man Brian and witty tooboot"
929270,mr blizzard,2015-08-13 01:48:00,1589,"Big Cliff thanks I was hoping to hear from you, the rig works great both cold and hot, I will send u the recipe 2morrow and yes my friend this afternoon some pork belly went into the fridge , 7 days and counting, please say hi to your wife as well"
929306,Big Cliff,2015-08-13 08:03:00,6899,"Big Cliff thanks I was hoping to hear from you, the rig works great both cold and hot, I will send u the recipe 2morrow and yes my friend this afternoon some pork belly went into the fridge , 7 days and counting, please say hi to your wife as well Glad to hear that you like it, sounds like you got the ventury adjusted properly now. You will be amazed at how good that bacon will taste!"
929315,leaf4,2015-08-13 11:44:00,2466,"Nicely done, that fish looks delectable!"
929330,mr blizzard,2015-08-13 13:27:00,1589,"Thanks Lucas F  appreciate it, just something different to try once in a while, and what I really like is it is not drive thru material,  it is nice to know u made it, u have to wait for the brine to do its thing, then u wait for the air drying, the anticipation builds then a couple of days later in the smoker it goes, its a relaxing project and its a bit of a destresser and if your not totally happy with it u just twix the ingredients for the next time, I am far from an expert but its fun"
929418,misfish,2015-08-13 22:44:00,29133,"Brian ,,,,,,,,,,,,,,,,,,,Yes I have heard HAMBURGULARS have been known to be PENNY PINCHERS!!!!!!!  Damn that was a good comeback  :whistling:  lol, your a good man Brian and witty tooboot   LOL  After work friday, I need to get my ass home and make three of those burger rolls for a family gathering saturday. I have to do them friday as I want to get out fishing saturday morning before heading out here."
929446,mr blizzard,2015-08-14 04:07:00,1589,"Brian, those bacon hamburger roles r a thing of beauty, it is 1002 pm our time, at 930 pm Diners drive ins and dives showed your recipe hamburger and bacon wrap he even showed the weave lol  Enjoy the much needed fishing and time with the family john"
