716673,Pikeslayer,2012-07-21 01:58:00,1443, Sounds like a case for JUDGE JUDY.  http://www.judgejudy.com/submit_your_case
703592,lew,2012-06-07 15:15:00,12766," I've seen the pictures and the fish is huge.  You don't need to waste your time explaining yourself as far as I'm concerned Bruce and if you did post the pic, or even if your bud posted it, we all know a few guys would just destroy the post anyways.  And it usually happens from all the wannabe's too."
703619,bigbuck,2012-06-07 16:53:00,2449,"Thanks Lew. I'm done with the thread. If the OP wants or needs any more info on the area, he can PM, we are headed up tonight for an extended weekend."
703638,John,2012-06-07 17:22:00,2956,"This thread is typical of why many of us, myself included, don't post new threads anymore, either fishing or non-fishing. Rarely does a topic that can have varying opinions get off the first page before someone jumps all over it looking to stir things up. I have made many friends on this board, many of whom are still around, some who have decided that they would quietly rather become lurkers and some sadly who are gone altogether. This is still a good place to be IMHO, BUT, some of us are making it increasingly difficult for me to click on the OFC bookmark in the morning."
706583,waso,2012-06-17 16:15:00,44,"I appreciate all the responses.  After careful consideration and the proper inspections and some due diligence, we put an offer in on the cottage.  After some back and forth it was accepted and we firmed up on friday.  Close in september, super stoked! However lots of blood, sweat and tears on the horizon!  Cheers"
706649,bigbuck,2012-06-17 19:54:00,2449,Congratulations to you and your family. You'll enjoy the area. There's plenty to do within a very short distance. Which cottage on Mermaid? I'm always tooling around on the weekends. Beige Larson fishn'ski w/ a green top.
706666,Billy Bob,2012-06-17 21:19:00,5865,"When can I come and visit for a long weekend.........LOL...  GOOD LUCK and catch lots of fish, Bob"
706979,waso,2012-06-18 20:19:00,44," Gray and white with the gray boathouse that is in need of repair. I believe it is ""Maclean"" cottage. I run a black and white starcraft, black top. I'll look for your boat!"
707003,bigbuck,2012-06-18 21:00:00,2449,The one right across from marina row towards the bottleneck??
707073,waso,2012-06-18 23:48:00,44," My slip is at Nautilis.  You would head out towards Royal Island and sweep around Mermaid.  It looks straight at Beausoliel island, right down the slow zone to the outer channel (kinda on the corner of a mini bay)."
707102,Twocoda,2012-06-19 01:08:00,4130,Congrates on the purchase... May your memories be many!
707126,bigbuck,2012-06-19 01:54:00,2449,I know where you are. I go up that channel on occasion going to or coming back from North Bay. We' have to wet a line sometime. We are up pretty much every weekend from may twofer till thanksgiving.
