618677,bubbles,2011-09-05 21:05:00,591,"Not far enough North for me, tough to find work from what I hear."
618837,highdrifter,2011-09-06 11:49:00,2534,Only place you'd see a peeler joint next to a bible store!!
618840,Rod Caster,2011-09-06 12:00:00,5784," Haha, not anymore. That move alone brought our  house prices up 5 percent. I think they moved the bible store to the main strip."
618852,TJQ,2011-09-06 12:41:00,7806,"Great place to live. nice small city, 3 hours from toronto, 4 hours from ottawa, 1 hour 15min from sudbury, 4.5 hours from the sault. (3 hours to matachewan) It really is the gateway to the north. Great schools, a bit of culture, 2 malls, lotsa new stores, home depot etc... oh ya and lake nipissing!!"
618892,Musky or Specks,2011-09-06 14:42:00,2710,Im one of those that consider anything south of 17 Southern Ontario. If its northern Ontario it has to be north of 17
618896,Nipfisher,2011-09-06 14:56:00,2449,Hwy. 17 cuts North Bay in half. I am below it so I live in Southern ontario?
618900,Rod Caster,2011-09-06 15:10:00,5784,  yuppie
618933,bushart,2011-09-06 16:47:00,2628,Ya City Slicker
618946,Fish4Eyes,2011-09-06 17:36:00,1022,"I'm not from the area, but to help you in your decision, North Bay is home to a nursing school dude. Imagine that pub night. You could choose which one will rape you"
618228,Muskieman,2011-09-03 16:52:00,2472, Congrats!!!     Go have a beer !!
618229,bushart,2011-09-03 16:56:00,2628,OK advice from someone who has moved around lots  1st thing I learned--asking most folks that reside in any given place---probably be a positive answer  Most folks hate to admit they may live in a place others would not.  And before anybody jumps---I like North Bay  2nd Are you only going for the job or the sport----If your job folds---Then What??  Like others have said---not tons of opportunity on your doorstep  How do you feel about longer winters and blackflies?  Some small towns (N Bay??may not be small) can be cliquey---they see lots of folks come and go---hard to make new friends  I'm not trying to talk you out of it---but we've lived from southern--eastern---central and northwestern Ontario--seen lots
