59159,mattyk,2007-04-12 16:35:00,2110,wow thats a really nice fish! Thanks for posting a pic.
59160,ecxstriper,2007-04-12 16:40:00,343,"OK I""ll spring for a  manicure but not a whole day as this was a team injury.  Wow how  is your ego holding up under the onslaught if anybody can take such abuse it is you ."
59163,snag,2007-04-12 16:56:00,1932," Yeah,  I could tell Cliff to cry us a river but Bly would catch a PB in it."
59173,Joey,2007-04-12 17:12:00,9122,   Did you come up with that all by yourself Snag  Joey
59176,snag,2007-04-12 17:16:00,1932, Sure did!  (who's snag?)
59178,Joey,2007-04-12 17:24:00,9122,I feel my identity slipping away from me........  Nice avatar SNAG!!!  Joey
59194,ecxstriper,2007-04-12 18:20:00,343,snog I need your latest cooler lady catalog . I'm in the market for one but am torn between cooler lady and a box lady !!
59201,snag,2007-04-12 18:57:00,1932," Hi Alex,  Roy here,  I am a distributor for Snogs Cooler Lady Brand  Cooler Ladies.  Our Joey line is quite popular.  After the T.V. spots we can't keep them in stock!  However, We have some scratch n' dents available......"
59202,Puckhead,2007-04-12 19:02:00,377,hahahaha!!  Snag's been messing with the glue today...  I put the Mod in modestly handsome... To much!
59222,BryceBurzynski,2007-04-12 19:45:00,181,Nice fish!
59327,tjsa,2007-04-12 22:20:00,1578," Congrats Carole, nice fish, good of Cliff not to knock the lure out of its yap with the net.  As for the above quote, we want pictures, video if possible."
59421,Douger,2007-04-13 01:58:00,116,"Nice fish! Way to go, Bly!  Good to see some payoff for the amount of work you guys have been doing.  Hope all is well.  Take care -d-"
59470,majorlifts,2007-04-13 04:37:00,171,Do you guys live in a tent down there by the trib fer cryin out loud!!
59535,snag,2007-04-13 13:45:00,1932, Here's the picture of my spa day experience.   Cliff spent a bit more money:   Bly said she would teach us how to fish if we stopped this.
59541,Bly,2007-04-13 14:03:00,1556,Snog....  You REALLY need to go fishing!  LOL
59018,ccmtcanada,2007-04-12 03:16:00,7971,"I came home from work today and there is a bag on the table from the local fishing store.  Bly tells me that she picked up a Daiwa Samurai-7i for 50% off at a clearance sale!  Since the weather was going to turn crappy tonite and into tomorrow, then the tribs would likely be blown, we decided to brave the elements and do a little night fishing.  After all, she had to try her new reel.  We got to our spot and began our drifts. Some light wet snow was falling and the wind really picked up...making drifting very difficult, but we decided to stay a bit.  About a 1/2 hour into drifting, she says ""FISH ON""!!!!  I grab the net...I'm starting to get used to being her net boy...lol.  This fish was a scrappy fighter!  It ran every direction, but her new reel worked great!  The thing ran to the opposite bank and almost beached itself there.  After a good 5 minutes, she brought it close enough for me to net.  She landed this beauty 29.5"" Steelhead.    The release.....   Shortly after that, the rains really CAME down.  The wind was crazy and we decided to pack up and leave.  Since we are newbies at this...we weren't 100% sure this was a Steelhead.  It didn't quite look like the other ones we've caught.  After looking at tons of pictures of Steelheads, Coho Salmon, Atlantic Salmon and Browns, we decided it was a Steelhead....LOL.  Please chime in if you have a different opinion.  We are definitely hooked on this trib fishing...hopefully more reports in the near future!!  PS...Gagnon's Sports in Oshawa is having their clearance sale starting tomorrow!!  Go check it out...it's where she got her new reel....."
59019,ecxstriper,2007-04-12 03:18:00,343,"wow and wow again sis. Stop the madness ,get help you too"
59020,Joey,2007-04-12 03:20:00,9122,"Bly, Bly, Bly, you are really showing Cliff up aren't you  You go Girl!!!  You're on fire.  Sweet Fish  Joey"
59021,Hooked,2007-04-12 03:21:00,891,Awesome going you two!  Way to break in that new reel Bly.  You two are certifiably hard core!
59022,danc,2007-04-12 03:23:00,4677,"Geez. You two certainly put your time in and are rewarded for it. That's at least half the battle. Congrats on a fine fish and for your persistence. And yup, it's a Steelhead."
59025,ecxstriper,2007-04-12 03:23:00,343, what are you talking about I saw the last report from you and tybo. LOL
59029,ccmtcanada,2007-04-12 03:33:00,7971, Yep...she has the biggest Walleye by half a pound and now the biggest Steelhead by 2.5 inches....my only comeback is at least I've caught 2 30+ inch Pike to her zero...LOL.  I was re-tying my setup after a snag when she hooked that fish...just my luck!!!
59062,JEREMY,2007-04-12 12:04:00,300,WAy to go on the fish and congrates on your new job as the net guy ccmt.
59085,Puckhead,2007-04-12 13:38:00,377,Nice!  I always wanted to try a drift at night...  Seems like a blast...  I've heard it can be good when it warms up a bit.  Either that or it's just more tolerable
59090,Bly,2007-04-12 13:46:00,1556, Thanks I really enjoy the night fishing and I get to fish spots that are normally very busy.  bly
59091,Bly,2007-04-12 13:48:00,1556,"  Joey........I don't try to do it, just get lucky I guess  bly"
