385211,limeyangler,2009-09-20 18:16:00,5204,Simon?!.....hhhhmmmmmmpph
385219,misfish,2009-09-20 18:49:00,29133," Why   ya pik,n on me eh? LOL  May you   nothing but drums on the BOQ.  I,ll be out Monday to see whats what.   I,ll show you.   As for who? Luke skywalker  Puts in the hole the first try."
385220,Terry,2009-09-20 18:51:00,14456,LOL
385441,PitViper,2009-09-21 13:34:00,33, No they looked more like dink's from spaceballs
385501,Bernie,2009-09-21 16:19:00,3190,A coon knocked over my fish fryer. I heard the noise and ended the problem promptly.
384894,misfish,2009-09-19 17:49:00,29133,"Was all excited to go and retrieve my cam card and see what was happening in the area. 124 pics were taken. Yeah of these guys.LOL    The flash aint that great,but it atleast shows whats there.    Day time shots are pretty good though.Caught this guy in the act.HAHAHA    I have moved the cam to the field now. Hopefully I will catch a shot of a deer there."
385002,Leecher,2009-09-20 00:07:00,7832,Nice shots of the wolves Brian but if these guys are in your hunting area...... might not see deer to often this season  but yet again might get them to be on the move also Jacques
385007,misfish,2009-09-20 00:16:00,29133,Der coons J.LOL
385012,Terry,2009-09-20 00:25:00,14456,and here I thought they were Ewoks
385015,Leecher,2009-09-20 00:28:00,7832, Oppps my bad
385016,misfish,2009-09-20 00:29:00,29133,"I gave them names,,,,,,, Elvin,simon and theador"
385022,Leecher,2009-09-20 00:38:00,7832," Feeewww I though you were going to name one Jacques LOL  One word ""00 Buck"""
385023,Greencoachdog,2009-09-20 00:39:00,8163,"  Dat would be Alvin, Simon, and Theodore!!!  ... baked with sweet tater they're delicious if you gotta have a wild meat fix!!!  I'm saving them and the rest of the critters for when the grocery store runs out of chikken and Black Angus beef!!!"
385041,richyb,2009-09-20 01:14:00,774,How far away is your camera from your feeder ? the flash is good for 30 feet I think.  I have mine about 15 feet from where I put some salt on the ground.
385042,misfish,2009-09-20 01:22:00,29133,15ft at the most Rich.
385045,Greencoachdog,2009-09-20 01:30:00,8163,"Yeah, that's real sporting!!! Taking game over a feeder... kinda like fishing with C4!"
385047,richyb,2009-09-20 01:36:00,774,
385051,Greencoachdog,2009-09-20 01:41:00,8163,  ... and they're such a vicious breed!!!
385052,misfish,2009-09-20 01:42:00,29133,"It,s late DAWG,go stuff yer head in a bottle of swineflu."
385055,Greencoachdog,2009-09-20 01:45:00,8163, Done done it!!!... ya want real hunting sport?... try hunting wild hogs with a pocket knife!!!.. now that's a sporting chance!!!
385061,misfish,2009-09-20 02:00:00,29133," We all know, you dont bring a knife to a gun fight."
385064,misfish,2009-09-20 02:03:00,29133," You and me mudder are so alike. It,s ok to serve them at the dinner table,but dont kill them. LMAO"
385068,richyb,2009-09-20 02:11:00,774,
385069,Greencoachdog,2009-09-20 02:12:00,8163,"  It's only ok to serve them at the dinner table if you're starving!!!... are you starving???... if yes, mebbe you should sell the Cuddy!!!  Target practice and scout on a regular basis, but only harvest when you really need it!!!... there will be more that way!!!   btw... I go Bear hunting with a Ratan cane only!!!... it's all in the sport yanno!"
385071,Greencoachdog,2009-09-20 02:13:00,8163,  There's a Deer!!!... and it's heading straight for us!!!!
385073,misfish,2009-09-20 02:30:00,29133," I AM,,,,,"
385144,Cudz,2009-09-20 13:15:00,2652,If deer had guns they would be shooting at us.  Deer = Food.
385172,TJQ,2009-09-20 15:01:00,7806,LOL.. they sure do look like ewoks...
385196,Dozer,2009-09-20 17:19:00,896,... ewoks!
385210,Terry,2009-09-20 18:07:00,14456,"I am glad I'm not the only one who thought they looked like ewoks   so does that make misfish, Luke skywalker or Jabba the hut     Yoda"
