957591,LefroyFisherman,2016-02-13 15:02:00,602,Geez Manitou looks like you really don't like Dora!
957601,manitoubass2,2016-02-13 16:19:00,11391,Bout to square up!???
957716,adam lancia,2016-02-14 04:19:00,234,"Anyone been to the show? Looking for a new shakey head rod, just wondering if its worth while going. Anyone see a deal on a loomis GLX or NRX or a St.Croix Elite  Good call. I'm heading there on Monday and hopefully coming home with a jig rod."
957957,John Bacon,2016-02-15 18:16:00,3277,Anyone know if there will be a North GTA tackle swap this year?  I missed it last year.  I don't see anything about a 2016 show.  http://allevents.in/toronto/2nd-annual-north-gta-tackle-swap/1416941891935379
957963,misfish,2016-02-15 19:01:00,29133,"Anyone know if there will be a North GTA tackle swap this year?  I missed it last year.  I don't see anything about a 2016 show.  http://allevents.in/toronto/2nd-annual-north-gta-tackle-swap/1416941891935379  Just sent a pm to one that would know. When I have an answer, I will get back to you."
958064,Loonietoon,2016-02-16 20:24:00,1450,I am waiting to hear if I have a table or not.. lots of stuff to sell that I have never used.. lots of Muskie lures also Looks like I have 2 Tables at the Bassmasters Swap Meet .. now I have to get stuff together
958113,PUMP KNOWS,2016-02-17 01:05:00,937,15% off fishing @Sail starting Wednesday
958116,gaspumper,2016-02-17 01:21:00,393,"not sure why the lil Trenton one would do the same day as Pete's Bowmanville one but oh well....I need to find out if that guy from Ottawa with all the totes full of baits and plastics will be in Trenton? Trenton was always in March,Bowmanville moved there's to March. the past couple of years it was the first  of Feb."
958124,KraTToR,2016-02-17 04:23:00,506,"Anyone been to the show? Looking for a new shakey head rod, just wondering if its worth while going. Anyone see a deal on a loomis GLX or NRX or a St.Croix Elite  Its getting to be near impossible to find deals on high end equipment.  With the current exchange rate all the dealers at the show were hiding behind that... I did end up going to Fishing World this past weekend and I picked up an IMX flippin stick and a Calcutta D 200 at last years prices. They are one of the few dealers that maintain previous pricing on their old stock.  Not sure what they have left but its worth a look.  Also, Sail has all there GL2's on clearance - approx 50% off.  Not the quality youre looking for but the rods I saw were all marked down to $150."
958125,Old Ironmaker,2016-02-17 05:04:00,8243,"KraTTor, if I may ask what the Calcutta went for. I'm in the market for a good bait caster. If anyone here has one they want to unload PM me."
958229,Raycaster,2016-02-18 02:49:00,528,Anyone know if Trolling Motors are included in the 15% sale at sail.ca?  Can you say Anxious?
958255,KraTToR,2016-02-18 10:47:00,506,Anyone know if Trolling Motors are included in the 15% sale at sail.ca?  Can you say Anxious?  Yes
958649,misfish,2016-02-20 22:22:00,29133," Just sent a pm to one that would know. When I have an answer, I will get back to you.    Anyone know if there will be a North GTA tackle swap this year?  I missed it last year.  I don't see anything about a 2016 show.  http://allevents.in/toronto/2nd-annual-north-gta-tackle-swap/1416941891935379   Got a pm from Dave today  Sat. April 9"
958653,KraTToR,2016-02-20 23:51:00,506,I'll be       Got a pm from Dave today  Sat. April 9  I'll be there!
958688,John Bacon,2016-02-21 05:37:00,3277,     Got a pm from Dave today  Sat. April 9  Thanks for the update.  I hope that I can make it.
958814,tizfun,2016-02-22 01:57:00,292,"FYI... for anyone looking for a Minn kota bowmount...  Was working in the Hamilton area last Wednesday and went into CT on Upper James.. They have 2 NEW IN THE BOX... Minn kota Powerdrive V2 55 lbs thrust, 54 inch shaft on clearance for 475.00..   Reg 679.99 Seems like they are cleaning house on some of their stock..  I picked up a Minn kota Powerdrive 40 lbs 48 inch shaft (display model) and old stock for 149.00.. it's brand new.. manager just set the price while I was there... perfect for my 14 princecraft 142..  Ice fishing gear is on major clearance too..."
