974621,mepps,2016-06-23 17:37:00,1301,Mepps #5 FisherPete? Those lures lever catch anything!
974622,Steve,2016-06-23 17:49:00,2075,"i've caught about 25 muskie in my lifetime (I'm not much of a muskie fisherman)....  ALL but three have been caught on the same black and orange buchertail bucktail.  If I was fishing the Kawartha's, I could confidently fish with that lure and no others....and do just fine."
974625,Tjames09,2016-06-23 18:26:00,664,Mepps #5 FisherPete? Those lures lever catch anything!  I hope this is sarcasm because I already bought one! lol.  It seemed like a smaller version of the other bucktail inline spinners.
974652,Tom McCutcheon,2016-06-23 21:50:00,627,You have received some really good information and accurate suggestions by others on this forum. I will add just one. Visit the Muskies Canada website and find the nearest chapter to you. You can go and sit in on any meetings you wish to with no obligation to join. Listen to the guys there and most of them will help you out. It WILL shorten your learning curve.
974703,Fisherpete,2016-06-24 13:03:00,1814,"Lol... Yes he is kidding... You will see! And did you see the post by ""pump knows"" about his first muskie on the jointed live target? Very similar to the Rapala J-13...!"
977129,Tjames09,2016-07-20 15:18:00,664,"thanks for the all the advice guys. I caught 2 muskies this weekend and my wife caught her musky as well.  the mepps #5 spinner caught a really nice one, didnt get a weight on it (forgot, was worried about keeping it out of water to long).  And we caught two smaller ones trolling. Do you guys leave both trebles on the lures? One of the mukies we caught was smaller and when it jumped out of the water it hooked itself in the back on the back treble on a large lure with large hooks. I felt really bad for the fish as it caused a bit of bleeding and will leave a scar for sure. It had one treble on its mouth but the lure is large so when it jumped it bent its back and the back treble hooked him."
977144,James77,2016-07-20 17:27:00,175,So True! 
974263,Tjames09,2016-06-20 13:46:00,664,"Ill start with my tall fish tale. I was fishing Lake Sturgeon for opening bass this past weekend. Fishing the river section and going through the weeds. I hit a bite and set the hook. The second after I set the hook it feels like i've caught a log, did I snag? nope its still reeling in but its heavy whatever it is. I thought I caught a monster bass (was using T-rig senko). I keep reeling and get it near the boat, the second I can see what Ive caught my heart explodes. Its a musky on the line. My first thought, why one earth did a musky eat my senko, and secondly how has it not broken my line yet. Well I keep fighting the fish and try and tire it out because Im fishing bass so no net and no way to really get this musky in the boat. I fish it out for a bit, and get it right beside the boat and staring right at it, its big, and I have no idea how Im getting it out of the water. It releases at the side of the boat and my heart sighs, I've lost the musky. But my rod is still bent.....there's a bass on the line! I've caught a large mouth bass which got eaten by a musky on the reel in!. The large mouth is chewed up, but still alive. I let it go and it swims away.     I guess part two of my thread is I've never fished for musky before, and seeing one was a massive thrill. I wouldnt mind trying my hand at fishing for some, but I have no idea where to start with lures. I was hoping the minds of OFC could lead some advice for musky lures in the kawarthas. Ive seen a few threads here with massive muskies caught. Im looking for some basic starting points for musky lures. Swimbaits? Spinnerig?  Cheers."
974271,Gregoire,2016-06-20 14:05:00,1397,"A heavy action rod and reel specifically designed for musky is essential so that you can get them to the boat as quickly as possible. Proper release tools, long handle pliers, hook cutters, and a very large net so that you can keep them in the water while unpinning them. Someone posted a good link in here a while back. Knowledge on how to properly handle the fish. This is a good link: http://www.muskiescanada.ca/articles/catch_and_release_tips.php Another good tip is to hold your breath when you take the fish out of the water.  Having said that I would recommend that you stick to bass fishing. Once you start buying musky lures it's hard to stop. For the kawartha's black orange bucktails are awesome. Black orange rubber baits are also good."
974288,AKRISONER,2016-06-20 16:55:00,5558,"only decide to fish musky if you are ready to make the investment...unfortunately i made the investment last year and then moved to BC and now i dont fish musky anymore...  its not cheap. Heavy rods and big reels are a must...you are looking at around 300 bucks for the rod and reel.  Then you need a proper net...bolt cutters or good side cutters and jaw spreaders. Baits start at 15 a piece and up.  Spool of 80lb+ braid and a 100lb fluro leader.  Thats your shopping list, dont even bother starting until you have all of the above."
974292,quickme,2016-06-20 17:45:00,261,"I made the jump this year and let me tell you it is NOT cheap to target those toothy buggers!!  New rod $350+ , New reel $400+, 12 lures $20 average each ....   still missing bolt cutters, terminal tackle ( barrel swivels, swivel snaps, etc)    It's worth it once you catch a few thou...  Good luck"
974293,Tjames09,2016-06-20 17:54:00,664,"Ouch expensive list, my bass rod seemed to handle the musky okay, but that might have been a one off. The bass rod is heavy action 6'6"" with 60lb braid already, its meant for flipping heavy cover and pulling fishing out."
974297,quickme,2016-06-20 18:42:00,261,"Ouch expensive list, my bass rod seemed to handle the musky okay, but that might have been a one off. The bass rod is heavy action 6'6"" with 60lb braid already, its meant for flipping heavy cover and pulling fishing out. it is but IMO worth it     "
974315,AKRISONER,2016-06-20 20:22:00,5558,"ya it will handle the fish somewhat, but any serious fight with a 40+ inch musky on that rod is putting you at serious risk of killing the fish.  Trust me, the last musky i caught took half an hour to revive after a fight with all the right gear. dont half ass it, even if you think you can get by, ya sure you will catch some but you will kill too many."
974325,Pigeontroller,2016-06-20 21:26:00,2793,"Yup, that's how it starts..."
