2747545,Fisherman Ted,2014-05-01 14:35:00,461,Odd you would make that comment seeing as you have never been to my lodge.
2755641,wpg_snowboarder,2014-05-03 23:12:00,6,"wasnt putting down your lodge at all its a beautiful setup just seems a bit pricey to me for a drive in lodge although i haven't experienced the hospitality and food, if thats as good as the rest of the lodge its a fair price plus i the new bigger boats are sweet!"
2759281,tjandy,2014-05-05 07:29:00,107,I would love to try their lodge sometime. Not sure the rest of my group can afford that though.
2759609,jimmie,2014-05-05 08:44:00,123,"I agree with most of all the other posts on this topic from what I know. Almost every lake that has a decent 'eye population has potnetial for big'uns. I personally witnessed a 37 1/2"" mount caught by a lodge owner friend years back. This as it turned out was 20 1/4 lbs and may have been that elusive world record as it was after she had spwned out all her eggs. Now they might not have still be viable at her age but she isn't either!! Took him just over an hour to land her as he was using 6lb test!!He took the cheek scales to the MNR and she was aged at17/18 years old!I had the 'eye of a lifetime on Lac seul two years ago just off an island point and had it not been for my usual clumbsy netting job would have had one over 35"" in the boat. Would have released her (after photo) but hoping that she still swims near there. I have my measuring sticker on the inside of my boat beside where I should have properly netted her. I was so nervous after getting her to the surface I hit het on the head instead of in front of her and she broke me off!! Okay I broke me off!!! I only cried for a litle while. However, it would depend upon what your idea of huge is. There are many, many 25"" and greater 'eyes you can catch during your trip. There are numerous eaters also. I have found that there is no magic place as I have caught them that size in 3' to 25' of water. I do not keep fish so don't bring them up from the depths as some do and let them explode inside and have thier eyes bug out. No live 'eyes onboard except to photo and quickly release. There are smallies and nice Northern Pike too. Plus there are 12 bodies of water in the Sioux Lookout area that I like to give a try when I have the time. Most all resort owners and/or guides will put you on the fish. Thay want you to come back too. Of the 250,000 bodies of water in Ontario I'm certain that you can find a dozen within a short distance of one another. There is also Lake of the Woods up North that is producing very nice sized 'eyes. Lake Erie is your best chance for catching numbers of over 30"" fish. However, that may involve planer boards and or a charter boat!! You decide. I love the Pre-cambrian sheild lakes myself. Pure beauty, serenity, not crowded water. Oh yes, of course fish!! Although the growth is much slower up north for nearly all fish the world records exist in NW Ontario waters. From Pike to that elusive 25lb.+ walleye. Hopefully one will not have to travel to the Columbia River to find them. There is that 70lb musky too don't forget!! No matter where you go, be safe, it can always be the trip of a lifetime with family members. Life is too short not to enjoy such of life's treasures. Family and fish they just go together don't you think? Jim"
2760409,Carnhzkr,2014-05-05 12:50:00,964,"Hawk Lake has been on my wish list for several years, ever since I stumbled upon their website while searching for big walleye lakes. Unfortunately, it's likely to remain on my wish list. Unless I came into some unexpected fortune, at about $400 pp/pd, it's priced way out of my range. Sounds like an incredible walleye and smallmouth fishery, and a five-star lodge. Guess I'll have to slum it with the rest of you average Joes and let the doctors, lawyers, and CEOs live it up at Hawk Lake. Oh well, Lac Seul ain't too shabby either."
2760425,The Donger,2014-05-05 12:59:00,48,"The nice thing about NW Ontario is that there is a place for everyone, every taste and every pocketbook. I'm sure the five star outfitters do a booming business and their guests enjoy food and lodging commensurate with the cost. I prefer to rough it a bit at a remote outpost where we don't see other boats, we can cook our own meals on our own schedule, and we can catch fish until our arms ache. None of these trips are ""cheap"" but to me there is not a better ""value"" in a vacation than flying in to a remote lake and blowing off the world for a week. 26 days to go!"
2762833,tjandy,2014-05-06 07:14:00,107,I'm with ya on that. No one has ever cooked us a meal while we were up there. That is 30 + years in a row for a few of them.
2735794,SinOrSwim,2014-04-29 07:15:00,1528,"I've never fished HL but will be for a couple days in August for exactly what you wrote. The potential to catch 12 fish 27 to 30.5"". Yes, it is expensive but it is not much different than a fly in. Time will tell but I'm hoping my son and I can pull in a hog or two."
2735882,tjandy,2014-04-29 07:31:00,107,That is similar to what we do on Nungesser. Our largest Northern is usually mid 40's. However in the last couple years the big Walleyes have been eluding us.
2735906,tjandy,2014-04-29 07:33:00,107,That is awesome.
2740514,wpg_snowboarder,2014-04-30 06:24:00,6,"aug will be tough for the bigger eyes. you will get them float fishing leeches in 18-25fow at dusk. try the south side of the reef in the main bay mid way along the reef, another that always produces is about 200 yards thru the narrows on the east side of the mouth theres a bit of a ledge 17-23fow this spot depending on the fish you can float fish or if theyre not active jig it keeping your jig within 6"" of the bottom. i know this should be common sense but if your going out at dusk, please make sure your boat has working lights and use them. i have had a few close calls with lodge boats running around in pitch black with no lights on."
