621077,asdve23rveavwa,2011-09-13 16:09:00,2690,"How about ""dem"" apples, eh, Jacques??  Nice crop, enjoy!!"
621266,Leecher,2011-09-13 23:58:00,7832, Awesome Erik!!!  It sure is   No worries chessy.... I believed you   Thanks Frankie!!!
621289,MJL,2011-09-14 00:36:00,2427,"In Jacques backyard, the apples eat you  Seriously, those look awesome...And huge!  Now I want an apple tree"
621508,Leecher,2011-09-14 19:07:00,7832, Thanks Mike!!!
620225,Leecher,2011-09-11 02:38:00,7832,"Every year, around this time, I look forward to picking apples off the tree.  I only have one in the back yard.... a 6 year old Macintosh  (there are other trees near by from my neighbors)  I've been keeping an eye out on the ones that fall off and the last few days, found a couple every time I got home from work.... this tells me it's time    and got busy picking  The tree is not a big one, I planted it in 2005... had some very nice apples from it, not in great numbers but this year got a phenomenal amount... around 270  Here's the tree and as you can see.... not a huge one but loaded    A couple more shots from different angles      Cluster shots      Bigger ones      Took me about 45 minutes to picked them off.... here's the results    Of course, there's always the bad ones    By the time I finished, it was getting dark and got one last shot of the tree    Hope you enjoy Leechman"
620226,Nipfisher,2011-09-11 02:44:00,2449, We hope you enjoy.
620230,Leecher,2011-09-11 02:59:00,7832, They are very sweet and crisp    I foresee apple pie in my near future
620239,nroadrunner,2011-09-11 03:53:00,113,very nice.  At least yours are edible  I have a crabapple tree in my backyard has so many apples on it branches were breaking.  Wife won't let me cut it down.  I told my 7 year old i would give him  a nickel for everyone he picked up so I could cut the grass and I am now $28 poorer.  So far we have picked up over 800 apples from the tree and it still has some on it.  If I was ambitious I would try making crabapple Jelly.    Ian
620240,limeyangler,2011-09-11 05:02:00,5204,Nice Jacques....enjoy the apple pie.   BEWARE THE 'SWEDISH ELK'
620255,bigugli,2011-09-11 11:24:00,6138,"It's a good harvest year, so far, for apples. Another 10 years and you will be counting bushels instead."
620258,Skipper D,2011-09-11 11:41:00,1970," Every one get ready ..... apple trees loaded with apples also means there will be lots of pie in the frig this winterto eat when its SNOWING LIKE CRAZY ....yup! ..... when the trees are loaded we get snow like crazy , been watching this happen for most of my life and its usaly bang on ."
620264,Vtucciarone,2011-09-11 13:08:00,38,"Hey Leechman, do you spray your tree in the spring or fall with anything? I have an apple tree (golden delicious) but they  all seem to have brown spots and they fall off the tree too early. Thx"
620276,Leecher,2011-09-11 14:43:00,7832," Thanks Ian!!!  That's a lot of crab apples   Thanks Simon!!!    you mean the drunken elk   It just keeps getting better and better every year   Didn't know that    Thanks Skipper "" D ""!!!   TUTS, yes I do spray the tree in early spring and throughout the summer with this stuff    And use this sprayer for the job    In early spring, as soon as the snow is gone, I spray the tree..... once the buds appear, I spray it again.... then I wait for the flowers to completely fall off and then spay it every 15 days til end of August.  The recommended dosage is 2 table spoons to 3 liters of water from early spring to mid June.... and mid June to end of August is 2 table spoons to 2 liters of water.  The spots you have on your apples is insects that got inside.  If you are a hunter, you can use your apples for deer bait Hope this helps you out! Jacques"
620387,bigugli,2011-09-11 22:59:00,6138,"One of the easiest controls for spotting and blighting is applied in spring. It's a tried and true accepted organic practice. You go out and buy a limesulphur/dormant oil kit. The compounds are mixed together with water in a sprayer and you spray the tree before buds start to crack, or after the last melt of snow, whichever is first. The mineral oil works the same way as oiling cormorant eggs. It coats insect eggs left on the tree and kills them. Limesulphur is a simple, yet effective, fungicide. It does smell like rotten eggs, but it works."
620396,RickOnt,2011-09-11 23:28:00,669,Lots of Good Eatin'  and apple Pie!!  Don't forget the 'Old' Cheddar  Rick
620401,Leecher,2011-09-11 23:46:00,7832, Great informative tip    Thanks Bruce   Thanks Rick!!!  Ah yes.... apple and cheese    They go great together
620408,manjo39,2011-09-12 00:10:00,354,"Wow, I'm jealous. I love apples freshly picked apples, but don't have room for a big tree.  Can you prune the tree to keep it small?  "
