1004537,Dutch01,2017-05-25 18:33:00,1431,So....I guess political threads are okay again?
1004538,leaf4,2017-05-25 18:42:00,2466,I think that's the only route I would go if I were to do one. But at my house the roof was redone a year prior to buying it so I have an 8 year old roof. Seems silly to pay for a new metal one lol
1004541,aplumma,2017-05-25 18:48:00,6896,Sorry you all are getting to political change directions or I will lock it.  Thanks  Art
1004548,Dara,2017-05-25 19:48:00,3052,Put the solar panels on a big pole beside the house.  They are getting quite popular around here  With a good battery bank and a bit of a generator you have it made
1004560,DRIFTER_016,2017-05-25 21:30:00,10439,"My panels are going on my roof @ the cabin. Probably going to run my cables in conduit so the squirrels and ravens can't mess with them. Roof is metal so I don't have to worry about them messing about with that. 1,800 watts of panels will be connecting to an 80 amp charge controller and to a bank of 6 volt deep cycle batteries which then connect to a 3,500 watt switching inverter and generator. The entire system should be about $10K but will run everything I need to. Generator should only need to be run in winter due to lack of sunlight. With 20 hours of daylight in the summer it will not need to be used."
1004576,Fisherman,2017-05-25 22:25:00,7201," I wouldn't exactly call it funny, it's the moronic liberal way.  Okay then I'll change the L word to retarded free spending with no consequences for at least 4 years."
1004588,moxie,2017-05-25 23:01:00,1566,"Round and round we go, where the insanity stops nobody knows. Well we would if we put their feet to the fire..... No like I mean a real fire. How much fun would it be to watch a politician  bbq'd ?? Only when they become too incompetent or emboldened for theirs and our own good of course. ???"
1004596,leaf4,2017-05-26 00:19:00,2466,Don't know if anyone watched the nato stuff today but Trump took it to them about how the US is paying more than the rest of every other nato member he was hilarious. Great to see someone not tiptoe around stuff.
1004598,SirCranksalot,2017-05-26 00:28:00,3291,"If we are going to bring that moron Trump into the discussion lock 'er up, boss!! goodnite!!"
1004607,Dara,2017-05-26 02:02:00,3052, Look at a couple steel posts and a frame to mount them. It would be easier on your roof in the long run and easy to drill a couple epoxy anchors into that rock to hold the posts  likely cheaper than what you need for roof mounts as well
1004608,Pigeontroller,2017-05-26 02:16:00,2793,"Whats this have to do with Fishing???  This thread was political from the get go, and should not have been allowed under the new rules."
1004614,DRIFTER_016,2017-05-26 03:29:00,10439,Look at a couple steel posts and a frame to mount them. It would be easier on your roof in the long run and easy to drill a couple epoxy anchors into that rock to hold the posts likely cheaper than what you need for roof mounts as well  Problem is they won't get any sun at all in the late fall through early spring due to trees and rock hills.
1004624,leaf4,2017-05-26 10:51:00,2466,"The system Mike Holmes jr put in his house is what I think would help cut the hydro company out, big inverter/battery bank. Don't wanna see the bill for that one though haha everything they quote out on those shows seems more like double than what it should be ?"
1004627,scuro2,2017-05-26 11:52:00,904,Sorry you all are getting to political change directions or I will lock it.  Thanks  Art  It was political from the start...this means I can start posting about Climate Change again with no fear of consequences?
1004628,Sterling,2017-05-26 11:59:00,477,"The system Mike Holmes jr put in his house is what I think would help cut the hydro company out, big inverter/battery bank. Don't wanna see the bill for that one though haha everything they quote out on those shows seems more like double than what it should be  Was it like the Tesla systems? Those look amazing.  Tesla solar roof: https://c1cleantechnicacom-wpengine.netdna-ssl.com/files/2016/10/Unknown-1.jpeg  Plus powerwall: https://www.tesla.com/en_CA/powerwall  When I ran the calcs this system would pay for itself in 4.5 years in Northern Ontario. 1 year if you need to replace the shingles anyway."
1004632,Dara,2017-05-26 12:34:00,3052, Problem is they won't get any sun at all in the late fall through early spring due to trees and rock hills. Isn't that because its always dark then
1004640,Mister G,2017-05-26 14:03:00,1429,"If we are going to bring that moron Trump into the discussion lock 'er up, boss!! goodnite!! Trump is so far ahead of the clowns running Canada you can't see it from way back there."
