569627,phishfearme,2007-10-24 08:26:00,1242,i bet those clerks are still working elsewhere in the gov.
569632,Bill Krejca,2007-10-24 11:45:00,6107,"Rh, I think the point that a lot of folks have missed is that the Canadian authorities simply changed the law. Because different rules are now in effect, the nice refund that we all got in the past is no longer going to be realized."
569633,Guest,2007-10-24 12:14:00,0,"I did a fly-in out of Nestor Falls in May, filed the paperwork (forms, receipts, etc...)in mid June, and received my rebate check in September."
569697,Guest,2007-11-01 18:32:00,0,thanks steve of madison. I will try but opening like that dont come up very ofton. I will keep my eyes open though.
569856,Guest,2007-11-22 02:46:00,0,"Came back from Wenasaga Lodge this fall, and received my GST rebate back , before I left, the new rules applied on how their package plan worked... They were honest enough and explained how it now works, rather then screwing their customers out of their rebate. I appreciated how they returned the monies owed to me, and if I was to recommend a camp with honest people that try their hardest to make your stay in Canada a trip to remember, I would definately recommend Wenasaga for your next trip with family or friends. If you're looking for a vacation with both value and honesty, I would check out their website at www.wenasaga.com. I'm sure you won't be disappointed!"
569867,Guest,2007-11-25 08:38:00,0,"I just got my rejection letter. It does say essentially that they could not determine what other services besides lodging I received, and listed ""tour guide"", as one of the other services that would have made me eligible for the rebate. We had employed a guide during our trip, so is a fishing guide the same as a tour guide. If the receipt from our lodge included the guide, I think I would have gotten the money. Next year I will ask the lodge to include the guide on the receipt."
569878,Guest,2007-11-28 09:45:00,0,Just got my rebate in the mail yesterday and cashed the check today. It did take longer than in years past. We were up the first week of August and sent in the paper work the next week. Mark
569924,Guest,2007-12-03 11:13:00,0,"Ours were rejected also. Reason given was that we needed something like 50% of the billing had to be for ""services"". Not explanation from the Canadians as to what qualifies for services.I never understood why the had a GST and a refund in the first place.The three camps we fish camps we fish have been overwhelmed with request for an explanation."
570016,Guest,2007-12-03 11:13:00,0,"Ours were rejected also. Reason given was that we needed something like 50% of the billing had to be for ""services"". Not explanation from the Canadians as to what qualifies for services.I never understood why the had a GST and a refund in the first place.The three camps we fish camps we fish have been overwhelmed with request for an explanation."
570244,Guest,2007-12-19 17:17:00,0,Just got my bill for the Minneapolis Hilton. 13.15% tax Thanks
569464,bigfish1965,2007-10-12 21:20:00,3210,">Bigfish, we do not have 14% taxes here. Plus the whole >rebate was something that the resort owners asked for. It >does not make sense to me that resort owners are struggling >and now the government puts one more nail in the coffin by >pulling the rebate. You have large sales taxes in many places I have visited...California, Florida, etc. The rebate program was axed because of lack of usage. Only a small percentage of guests eligible were using it. The rebate had nothing to do with resort owners. Southern Ontario drives the tourism machine here, not Northern Ontario. The money brought in from resorts is a drop in the bucket compared to places like the Toronto to Niagara area."
