317548,PERCHER,2009-03-15 13:49:00,787,Mike I  see the fish I sent you finally arrived.
317629,dsn,2009-03-15 19:46:00,1018,I picked up a Chiefs Choice 110 from basspro few years back it is still works great. Sharpens everything from full size Samurai Swords to the small pocket knives. But it did cost me about $100 bucks and is worth it still going strong   DSN
317797,holdfast,2009-03-16 00:47:00,1813,   OOps  Wrong Quote  I meant the easy sharp at Canadian Tire thats on sale. Yup they work great.   I was in Mtl two weeks ago and picked up 10 made in Japan fillet Knives at the Dollerama store $1 each.
317798,Greencoachdog,2009-03-16 00:53:00,8163, ... but you squawk aboot the made in China Buck knives? 
317803,holdfast,2009-03-16 01:03:00,1813," You betcha, when I picked up that Buck knife that was cleverly packaged hiding the made in China, it disappointed me.  Well at least my Chicago cutlery folding fillet knife made in USA makes up for it.  The dollar fillet knives are actually pretty sharp.  Not sure how they will sharpen, but for a buck, even if its disposable what the hoot."
317809,Greencoachdog,2009-03-16 01:10:00,8163, The Nippon do have a way with steel eh!
317825,holdfast,2009-03-16 01:39:00,1813, LOL nice coverup.  I like it.
317103,Mike the Pike,2009-03-14 00:27:00,3421,Ok folks I need to know if someone has purchased a good system for sharpening the good old filet knife.  The old fashioned sharpening stone does not work for me I know I am not doing it right I seem to make it worse.  That little piece of crap that comes with the Rapala is only good for the plastic recycling bin.  I bought this hand held unit that looks like a set of brass knuckles it worked nicely for a year and a half and that too also wore out.  So I don't mind paying a little more but I want something that sharpens my knife so I can sizzle thorugh those filets.  BTW I have the electric Rapala knife which is amazing and I do love it but sometimes its not worth it to take it out for a couple of fish.  Mike
317125,BillM,2009-03-14 01:06:00,17367,Those simple plastic V sharpeners are great...  Oil up the blade a bit before hand and it's easy to keep it razor sharp.
317128,Leecher,2009-03-14 01:16:00,7832,"Mike, like Billm said that little gizmo is for getting the edge back on your knife blade..... If it does not, I suggest you bye another.  I've had the plastic V sharpener for the longest time and when it's time for filleting, a couple of pass and I'm good to go.  How old's your knife anyway?? Jacques"
317129,Fisherman,2009-03-14 01:27:00,7201,"I bought a Lansky Sharpening kit about 20 years ago, works fine for me, if you can afford it, get the diamond stones."
317131,Snowball,2009-03-14 01:29:00,167,"Take a look at this site:  Visit My Website  I purchased one of these units from CTC. My knives were all sharp when I tried it, but I could still feel it sharpening.  Regards, Snowball"
