6577972,Guest,2021-07-12 14:52:00,0,I fished Zizania many years ago and walleye fishing was unreal. Also huge northerns.
6577974,Wallychowder,2021-07-12 14:57:00,1567,just hide deep in the bush when they come ! They wont look for ya that long !
6577992,Eckohlt,2021-07-12 16:20:00,3685,"That's a waste of fuel to come back,they don't need to bother,times are tough save the fuel."
6578016,prov1800,2021-07-12 17:16:00,5010,"We didn't get anything big the other day 18 ""about the biggest but have caught 28"" there and a 40"" pike.So there in there.right now in most lakes there are so many smaller fish tgat are waý more aggressive than larger ones and they sworm on your bait."
6578026,Eckohlt,2021-07-12 17:27:00,3685,"That's a good problem when they fight to see who can get to the bait first,we have that same problem here in MN,hahaha"
6578038,prov1800,2021-07-12 17:35:00,5010,Definatly a good thing.Makes for a action packed day
6578046,Eckohlt,2021-07-12 17:40:00,3685,"Most of the swarming here john occurs at the buffets in the casino,it's a hot bite."
6578054,prov1800,2021-07-12 17:56:00,5010,Oh ok.thought you were talking about good fishing there.
6578058,Eckohlt,2021-07-12 18:11:00,3685,Nope
6577718,prov1800,2021-07-11 20:36:00,5010,Today felt good flying into Zizania Lake with 2 guests from Toronto for the day.The fishing there was insane as usuall.Lots of smoke everywhere from the fires.My 2 guests had never fished so today was a real experience for them and they learned real fast.caught to many to keep track of but I know I put around 12 doz minnows in the bag this morning and they were gone when we went to dock to get ready to be picked up a 3.Few dead ones floating in minnow bucket were used off the dock and those were gone in minutes.Water temps near 80 F so getting hot.No relieve in sight with hot weather or any rain in forecast.Bad situation.
6577724,PelicanPoint28.5!,2021-07-11 20:52:00,9,Will you tell us a bit about the fires? Thanks
6577730,prov1800,2021-07-11 21:20:00,5010,Fires all over nwo especially north of red lake. Smoke also coming from north of kenora and the western provinces.wete burning up.no rain for a long time.
6577766,Eckohlt,2021-07-12 04:58:00,3685,"Ontario needs the Americans,we always bring foul weather along on our trips,so read this Doug F"
6577770,Eckohlt,2021-07-12 05:00:00,3685,Gotta be the F minnows
6577772,prov1800,2021-07-12 05:25:00,5010,So true.Bring on the Americans.lol.
6577776,prov1800,2021-07-12 05:39:00,5010,Quote: Originally Posted by EckohltQuote: Originally Posted by prov1800Today felt good flying into Zizania Lake with 2 guests from Toronto for the day.The fishing there was insane as usuall.Lots of smoke everywhere from the fires.My 2 guests had never fished so today was a real experience for them and they learned real fast.caught to many to keep track of but I know I put around 12 doz minnows in the bag this morning and they were gone when we went to dock to get ready to be picked up a 3.Few dead ones floating in minnow bucket were used off the dock and those were gone in minutes.Water temps near 80 F so getting hot.No relieve in sight with hot weather or any rain in forecast.Bad situation.Gotta be the F minnowsDefinatly helped.
6577816,prov1800,2021-07-12 07:23:00,5010,Beaver leaving after dropping us off
6577914,Eckohlt,2021-07-12 12:03:00,3685,"Next time I get dropped off by a floatplane I'm going to tell the pilot,,,(don't ever come back)"
6577922,prov1800,2021-07-12 12:12:00,5010,Haha.Funny Rod.Wouldn't that be nice to spend a summer at a outpost.
