983677,manitoubass2,2016-10-16 19:40:00,11391,Whatta great pic!!!!
983702,bigugli,2016-10-17 01:16:00,6138,"Not to many of my old haunts left any more in Toronto.The Bamboo, Algonquin, Knobby, Hernando's, Capt. John's. Greenjeans. Chico's on Bloor. the Woolworth's giant lunch counter at Queen, Holiday, GasWorks, etc... All gone"
983705,dave524,2016-10-17 01:45:00,4508,"Not to many of my old haunts left any more in Toronto.The Bamboo, Algonquin, Knobby, Hernando's, Capt. John's. Greenjeans. Chico's on Bloor. the Woolworth's giant lunch counter at Queen, Holiday, GasWorks, etc... All gone  Did you ever get to the Old Victory Burlesque theatre on Spadina down by Chinatown? Was there for the tail end of the hippie Yorkville Ave, the Mynah Bird and the Riverboat coffee houses were still going, friend had a flat above the original Mr Sub there, great entertainment to watch the crowds from his window on a  weekend before Yorkville became a yuppie boutique haven. edit: another classmate stayed in Rochdale , lot of strange goings on there in the early 70's"
983709,Dara,2016-10-17 02:09:00,3052,10 cents to take your bike to centre island on the ferry I left that neck of the woods in 71 when I was 15 Never looked back
983719,Old Ironmaker,2016-10-17 04:05:00,8243,"It is sad to see all the Mom and Pop haunts bow to the shiny corporate places trying to have the vibe of the old places they tear down. If anyone lived in the east end of Hamilton skipping classes and going to the Derby House for a beer in High School was a right of passage. For one reason or another I hadn't been on Queenston for a few years after we moved out here. I'm driving by the Derby and it's a brand new Shoppers Drug Mart! Sad. There were 4 old time hotels on the corner of Queenston and Lake Ave, all gone.  If some of you folks drive to Port Dover in the summer, a great old fishing villiage to visit where the tugs still fish out of. Coming from anywhere you have to travel down hwy #6 or #3 through Jarvis. Both highways cross there. A few buildings north of the corners is a hotel called Branko's. You will think you have gone back in time to the 60's. Same stale draught beer smell and they even sell pickled eggs and Horse sausages in the 1 gallon jugs. Stop in. Don't blink or you miss Jarvis. Branko's reminds me of the old Parkdale House in T.O. and The Homicide (Homeside) on Kenilworth. Luckily there are still a few left in Hamilton."
983721,dave524,2016-10-17 11:03:00,4508,". There were 4 old time hotels on the corner of Queenston and Lake Ave, all gone.    Worked in a mill on Lake down by the QEW, grabbed a few quick ones at the ""Day and Nite"" and the Alpine after a 3--11 shift more than once back in the 70's. The Pines was a more upscale place."
983728,bigugli,2016-10-17 12:51:00,6138," Did you ever get to the Old Victory Burlesque theatre on Spadina down by Chinatown? Was there for the tail end of the hippie Yorkville Ave, the Mynah Bird and the Riverboat coffee houses were still going, friend had a flat above the original Mr Sub there, great entertainment to watch the crowds from his window on a  weekend before Yorkville became a yuppie boutique haven. edit: another classmate stayed in Rochdale , lot of strange goings on there in the early 70's How could I ever forget the Riverboat!!!!!!  All my favourite folk singers played there. Not only did a lot of Great talent get their start there. You never knew who would show up and play in with the artist on the billboard. My favourite night was going to Massey Hall to hear Harry Chapin. Then grab a cab (EMPire 6868) to the Riverboat to hear his brother Tom play a set. Before that night was over. Harry and his band had joined in,as well as Valdy, and Murray,and one other (memory of who just escapes me at the moment). They weren't superstars back then. They would sit down and share a beer with you. It would just become one big singalong."
983739,AKRISONER,2016-10-17 15:36:00,5558,anyone else see the discrepancy here?  even if you made 5000 a year...lets multiply that by 10...50 k a year...  a detached home for 50k  a truck vehicle back then 3000 bucks  a beer .10  breakfast 99 cents  a bottle of rum for 2.25  lets multiply those things by 10x  i just sold a semi detached 1200 square foot home for 550k...  a new truck for 30 grand? ya right  a beer for .70 cents? try $7  2.25 for a bottle of rum...try 40 bucks.  breakfast for 10 bucks i went to the local greasy spoon and got pancakes with bacon last weekend and it cost me 15 bucks.  not to mention you guys all got your jobs right out of highschool without a post secondary education.
983764,davey buoy,2016-10-17 19:59:00,5505,anyone else see the discrepancy here?  even if you made 5000 a year...lets multiply that by 10...50 k a year...  a detached home for 50k  a truck vehicle back then 3000 bucks  a beer .10  breakfast 99 cents  a bottle of rum for 2.25  lets multiply those things by 10x  i just sold a semi detached 1200 square foot home for 550k...  a new truck for 30 grand? ya right  a beer for .70 cents? try $7  2.25 for a bottle of rum...try 40 bucks.  breakfast for 10 bucks i went to the local greasy spoon and got pancakes with bacon last weekend and it cost me 15 bucks.  not to mention you guys all got your jobs right out of highschool without a post secondary education. You have now taken all the fun out of this lolol. Sucks now in comparison
983765,Old Ironmaker,2016-10-17 20:18:00,8243,"You are 100% correct Grimsby Dave, 3 hotels on that corner. I lived in that survey off of Lake in the late 80's and walked to The Day and Night for a hangover special lunch. The Scottish lady that lived across the street from us was the cook. A pound of ground beef for the meat loaf and 6 potatoes of mashed would be on the plate with brown gravy covering the plate. $3.99. I would ask her when she was making her Shepherd's pie and would make sure I ate there that day. It was the only bar I ever had real homemade Yorkshire Pudding the size of softballs."
983769,Old Ironmaker,2016-10-17 20:30:00,8243,"Yea Akrinsoner, the point? We had it made? Maybe. No Health and Safety legislation until 1978, a respirator was a wet rag wrapped around your face. I cleaned the rails off the 300 ton overhead cranes with a broom 10 stories off the ground, fall arrest systems? You fell, you died, one kid did. A lock out? Not invented yet. 3rd rails were live, make sure you don't touch that, you will fry. Before that someone watched and yelled to you if a train engine was coming while you cleaned the switches. ""It's unsafe you say, go home I'll get someone else to do it if you are afraid, hey guys this school boy is yeller!"" Ate lunch in the change room under all the work clothes hanging on hooks 25' high on the ceilings. Remember that change house next to my fathers office Fish Farmer.  It wasn't all great."
