977915,leaf4,2016-07-28 21:00:00,2466,Lmao woooow
977586,Raycaster,2016-07-25 14:22:00,528,"Finished installing the fold away coupler for the trailer but still have to put a new chain on.  Again, not really sure on my trailer or boat specs so the chart suggestions are kinda ballpark still.  I have a 22' tandem axle pontoon trailer with a small 16' pontoon.  The old chain had unsafe links, was rusty and now I have to extend from behind the coupling so its new chain time.  Can i pick up the chain and bolts at PA? Suggestions on chain size and also what type ""shiny, hot dipped etc""  Thx ahead."
977591,Tom McCutcheon,2016-07-25 16:22:00,627,"I'm not sure, but I think there is something in the MTO regulations that say the safety chain needs to be high strength steel? You know, the gold coloured stuff."
977593,Raycaster,2016-07-25 16:38:00,528,Not sure about gold colored chains but most chains are high strength steel with their diameter dictating their towing safety specs. Although most new chains will be 100% better than my old ones I'm just wondering how heavy duty I need to go.
977598,cheaptackle,2016-07-25 17:07:00,849,"PA probably has your answer. However, according to what I just read on E-laws for Ontarion, generally speaking with chains the LINK strength (and the hooks) must each equal or exceed the GVWR of the trailer. Simply put, if your trailer when loaded was rated by the manufacturer as say 5,000 pounds maximum, then the links (individual ones) must be able to bear the 5,000 pounds or more and so on. I'm assuming that you don't know your GVWR for the trailer for some reason, either the data plate is missing or it's not on your ownership.  So, a quick down and dirty would be (based on your tandem layout) 4 x the individual tire weight rating which will be on the tires.  If that adds up to say 7,000 pounds I'd go a bit heavier if it's feasible. Hope this helps!  Michael"
977599,Tom McCutcheon,2016-07-25 17:22:00,627,Better answer than mine.....LOL Certainly better explained.
977603,Raycaster,2016-07-25 18:08:00,528,"Thank you for the replies guys, yes of course I'll go heavier for the safer option. My trailer is a used tandem axle that has been modified for pontoon use with any specs long gone or simply not applicable any more due to the mods. I will look into the ""4 x the individual tire weight rating"" for sure.  Again thx for the help."
977605,Old Ironmaker,2016-07-25 18:16:00,8243,"I would also be concerned as to chain length. Not much good if they are close to the ground and won't catch the trailer if it un couples. Princess Auto will know your chain break strength requirements, they should. Wormdunker probably knows as he is a Hoisting Engineer."
977606,cheaptackle,2016-07-25 18:16:00,849,"Another way to get the details (I've done this) - hook 'er up and run over the scales at the dump/landfill/transfer station.  Unhook and drive the tow vehicle back over.  Deduct tow vehicle weight from total weight and voila!  Now you have a starting point.  I prefer the 4 x tire rating though, one true fact is you can't go wrong by having too strong of a chain AND you might be carrying a lighter boat now, but what about tomorrow?  Besides, if you do get stopped there'll be a lot less argument if your chains are rated for the max of the trailer as oppose to the max of what you might be doing with it. Let us know what you find out/do to solve this, it'll be good to hear.  Michael (ps - longshot but check to see if you can find the weight rating on the axles - they're probably in the 2500 to 5000 lb range or so, total of them would be an excellent guide, tires can have different load ranges than the axles)"
977633,Raycaster,2016-07-25 21:30:00,528,"Tom, I think your on to something with the gold chains. They seem to be Grade 70 Transport Chain."
977635,bare foot wader,2016-07-25 21:49:00,1354,"the MTO doesn't specify any particular type of chain, just that it needs to be sufficient strength to prevent detachment in event of a hitch failure...so basically the chain has to have a min breaking strength of whatever you are towing  the gold grade 70 at PA is overkill for towing a boat, but of course it works just fine...you could save a few bucks per foot though, if that matters  somebody mentioned hook strength too...very important point! I always see guys using the large size carbineers from the hardware section, because they are quick and easy...those things suck, they aren't rated for towing and they fold out straight like a paper clip lol  I think it's actually the MTO farm guide that talks about safety chains if you wanted to google it up"
