907670,jimmer,2015-04-02 14:32:00,2730,"Where are you heading out of? What time? Might help others decide. Thanks,"
907730,chris.brock,2015-04-02 20:37:00,4053,"Gull Lake, south of Minden, Saturday morning (if the ice is ok)  PM me your cell # Fidel"
907838,singingdog,2015-04-03 11:33:00,1047,"I just got a message that the ice on Opeongo is solid 24"".....should be okay on Gull, unless there is current."
909297,Sinker,2015-04-10 19:55:00,8692,How did this go? I was thinking of you guys while I pounded back drinks sitting on the beach basking in the sun all day  Anyone show up?  How was the ice?  I'm jonesing for some fishing now.  S.
909341,ckewley,2015-04-11 00:08:00,699," The day was this awesome!!! Great day, it was only Chris & I not another sole to be found on the lake, Fishing was awesome 9 Lakers total nothing of size but still fun."
909356,Sinker,2015-04-11 02:32:00,8692,Right on! I would have been there for sure if I wasnt away. Looks like mint weather!  S.
909363,chris.brock,2015-04-11 04:17:00,4053,"Fun day, good weather, not as good as the weather you had that day Shane, hopefully do it again next year"
907336,chris.brock,2015-03-31 21:30:00,4053,"I'm going up and will check the ice on Friday. If people want to come up, the cost of being shuttled to the ""spot"" is 1 tall boy.  People with sleds or quads will receive 1 tall boy for helping out"
907341,Moosebunk,2015-03-31 22:05:00,3970,"Now that there's a deal !!!  But me and the girls gots some plans this weekend, otherwise it ain't that far really.  Have fun."
907346,chris.brock,2015-03-31 22:25:00,4053,You receive zero tall boys Bunk
907360,misfish,2015-03-31 23:21:00,29133,Friday looks to be my only day to get away. Weekend shift is keeping me pinned close to home. 2 tall boys is well worth a lift IMO. Yer letting them all off easy Chris.LOL
907367,chris.brock,2015-03-31 23:43:00,4053,You also receive zero tall boys Brian
907372,ckewley,2015-04-01 00:06:00,699,"I'm in, you dig Guinness or Innis & Gunn?"
907373,manitoubass2,2015-04-01 00:09:00,11391,Give him 4 Innis...in the pretty bottles lol
907374,BillM,2015-04-01 00:10:00,17367,"Oh boy, I have a feeling the June trip is going to be a riot, lol."
907375,chris.brock,2015-04-01 00:13:00,4053,you come on Saturday I give you a tall boy Bill! Come on!  edit- Bring your 550. Hahaha
907376,chris.brock,2015-04-01 00:14:00,4053,"Kewley, you're a friend and welcome anytime"
907379,sleepjigging,2015-04-01 00:34:00,207,I might be able to come up on Friday. Saturday has been booked by the Family. CKewley is hitting the rivers on Friday. I have to ask the EIGHT BALL where to go.  Bain
907381,manitoubass2,2015-04-01 00:38:00,11391,Hahahaahah
907382,manitoubass2,2015-04-01 00:39:00,11391,One of these days Ill get out with ya Chris.  Its on my bucket list
907383,chris.brock,2015-04-01 00:41:00,4053,"not Friday, Saturday, family dinners come and go, spring ice in Halibuton trump that everytime"
907385,chris.brock,2015-04-01 00:45:00,4053,"anytime Rick, us and little fisher may visit you some time soon too"
907386,SirCranksalot,2015-04-01 00:47:00,3291,Ha---tallboys---the redneck currency!!
907391,chris.brock,2015-04-01 00:54:00,4053,come out Harold
907394,Sinker,2015-04-01 01:10:00,8692,"If I wasnt going to be in cuba, Lori and I would be there with bells on. Think the ice will last another week?  S."
907395,Sinker,2015-04-01 01:10:00,8692,.
907399,chris.brock,2015-04-01 01:17:00,4053,Shane has received a -2 tall boys
907401,Sinker,2015-04-01 01:28:00,8692,"Its ok, I drink whiskey anyways.  I'll bring tallboys next time....... for all you girls...hahaha  Good luck!  S"
907407,Pikeslayer,2015-04-01 01:53:00,1443,Sooooooo tempting.
907430,chris.brock,2015-04-01 11:05:00,4053,Even people I don't know are welcome. It's kinda like a last minute GTG and a farewell to the hard water season.
907482,highdrifter,2015-04-01 15:10:00,2534,Sounds good to me!  Can I bring a friend?
907528,NAW,2015-04-01 19:01:00,4022,If I hadn't already made plans for a full day at the girlfriends family in Lindsay... I'd be there. With the Bravo. BUT....  Sounds like a Blast though.
