456193,douG,2010-04-15 02:49:00,2693,Who the heck is that glory hound posing with Spiel?  He is for sure some lucky.  That pic is gold.
456222,Cudz,2010-04-15 04:13:00,2652,Finally got my pic with Dave. 
456271,Dave Mercer,2010-04-15 12:31:00,148,Awesome pics guys remember post them on our facebook fan group for double entries @ http://www.facebook.com/pages/Dave-Mercers-Facts-of-Fishing/358291215630?ref=mf I think we should keep it going till Monday when TJ gets back and I will get him to pull a winner. Good Luck all.
456514,Spiel,2010-04-15 22:20:00,9065,Nice hat Dave.     Next time though perhaps you could treat?
456564,Dozer,2010-04-16 00:30:00,896,"Wait a second, he is looking slim, is he the new Jared?"
456822,icedude,2010-04-16 19:59:00,459,  LOL-you folks can have his boat--I want his Toyota  good seeing you today Dave--in all 3 dimensions--barreling down the 407 East--Keep up the good work Dave and Staff  Cheers  Paul  www.lake-simcoe.ca  Take A Kid Fishing Ontario
456864,smnaulls,2010-04-16 21:32:00,8,How long will this be on? Nothing in the store in Bancroft today Scott
457109,ld17,2010-04-17 16:47:00,319,I think the contest ends july 4th?  Dave any input.
457131,Handlebarz,2010-04-17 17:52:00,3790,Oh sure I finally ready the rest of the replies and miss out by a day well at least I can still win your boat just remember to pick the winning name form the Subway In Tottenham. Very cool of ya Dave as always class act.
457264,skeeter,2010-04-18 01:16:00,1907,I had dinner with Dave tonight!!!    and posted it on face book too!! Thanks Dave
457273,misfish,2010-04-18 01:25:00,29133,"Well, the last two posted pics remind me of a song,,,,,,,,,, give me a head with hair.LOL    All fun."
457290,skeeter,2010-04-18 01:49:00,1907,Your day will come brian!!!!!! then your board name will be Brianbald
457323,GBW,2010-04-18 02:51:00,8460,"I keep it short cause it's easy to keep.  Yeah, that's it..."
457618,Squid,2010-04-19 00:06:00,1656, He needs to get on the Jared diet.
457652,vinnimon,2010-04-19 01:01:00,2593,"No way!I guess Im taking the wife out for a birthday dinner with dave as our guest.  SHE WOULD BE SO PLEASED, LOL.And I will need a lawyer or a Morgue."
457708,ld17,2010-04-19 03:17:00,319, just pretend you didn't know Dave was going to be there and say oh by the way can you take my pic..lol
