560250,brian1785,2006-08-11 11:44:00,1534,I agree with you bronzeback. I totally see your point.
560252,Guest,2006-08-11 12:09:00,0,"Shoal lake which is a large lake attached to lake of the woods and at one time an amazing walleye fishery. Now I'm sure it has been over 25 years now that they haven't had an open walleye season on this lake. This lake as far as I know went unchecked with I'll just call it netting. After they closed the lake to all. Fishing nets were still being found. This lake is not as big as LOTW but if what I understand the tons of fish taken weekly and they fish with no commercial value ( musky , pike smallmouth for example )are basically left behind . HOW long can that lake substain a quality of fishing. A few people are making bucks compaired to many making off of tourism"
560253,IaCraig,2006-08-11 12:52:00,434,"Sounded to me like Aaron does like me and brings his family up to enjoy the fishing vacation with him. When I first started trips to Ontario, I used to make it a goal to bring home my limit so I had some in the freezer. At some point that no longer was important to me. Now I eat fish while I am there, and when we want a meal of fish throughout the year it gives me an excuse to go to fishing around home. :-) IaCraig"
560254,Blackmacs,2006-08-11 13:59:00,2121,"This weeks Minnesota Outdoor News, August 11,2006, has an article by Gord Ellis that states the Ontario conservation officers are now desk bound unless they get a tip called in about a violation. Believe it or not they can't just go out and patrol their area and check fisherman, hunters, or who ever else. It's all in the name of money saving. What's so moronic is that the Bearwise program that traps and moves problem bears has money to burn. Hmm I wonder why there are so many problem bears? Couldn't have anything to do with ending the spring bear hunt could it? Quite the state of affairs in the great white north."
560257,Guest,2006-08-11 15:32:00,0,Not to mention all the $$ they crapped away with the gun registry up there. No wonder they have no money.
560325,Guest,2006-08-15 10:09:00,0,That gun registry was the biggest pile of #### . I'm sure it's the registered gun ownes doing all the drive by's
560327,canuk1100,2006-08-15 10:28:00,43,Just a thought when was the last time you saw a wild buffalo on the open prarie conservation does work save the resource for your kids and grandkids.
560328,canuk1100,2006-08-15 10:38:00,43,"Here is some math 10,000 fishermen 4 walleye each 40,000 fish wow!!!"
560333,Guest,2006-08-15 12:21:00,0,BrianD.......got a call last night from someone else out on the Island. They said there was a major bear problem out there right now. One cabin was damaged pretty bad. Sounds like it's time to go hunting.
560335,Guest,2006-08-15 12:56:00,0,"We keep a old lever 30/30 around the place. Easy to swing , packs a punch, bullet doesn't travel far. A couple years a go my daughter was down with her grandma and during the night a bear came through a window. Nobody harmed. Get this the opp and warden wouldn't do anything. So we brought a rifle down. Now if we want to keep our windows openned at night we have boards full of 2"" drywall screws and we lay them in front of openned windows. Never a problen since We usally see lots in the fall . We are less the 1/2 mile from the dump as the eagle flys We've seen unually more wolfs this year as well. always a treat to see one"
560191,River_eye,2006-08-10 09:39:00,1486,"All I'm saying is.......... you have to practice not only what the law states, but what is the right thing to do. You're government doesn't know best in every situation you know, you seem old enough to realize that. If you choose a catch and release lodge, over a lodge where you can keep fish, you are not only helping out the lake as an individual, but you are supporting others to as well."
560192,Guest,2006-08-10 09:40:00,0,I think all you tree hugger catch and release guys should fish Minnesota and let us bring em all back go to Canada.
560194,bronzeback77,2006-08-10 09:50:00,97,"I agree with you 100% about the house boats and commercial netting. When the commercial netting subject first appeared on this site over a year ago I sent countless emails and letters to anyone I could think of in NW Ontario and several of the prominent outdoor magazines ( In Fisherman, Outdoor Life, Ontario Out Of Doors). I do believe that these problems are very serious. I have two young sons and hope that someday I can take my grandchildren to Canada so I want nothing but the best for LOTWs. I comments were not intended to be a personal attack on you, I just wanted everyone to revaluate the true reason that we all enjoy fishing so much, I hope that it is not just for the meal. PS I am not a tree hugger, just a contentious sportsman"
560204,Guest,2006-08-10 13:48:00,0,"Over the years great strides have been taken in consevation and protecting the fishery. Reduced limits have been one step, but the most important too me anyway is the slot size. It was common pratice to keep everything , and the bigger the better was very common. Just look in every fillet house in years past, or any pictures at any lodge. I beleive you all fish for the sport first that's a given, Now if one choses to eat fish while up and bring some home I don't see a problem. You paid for your licence like everybody else. And it's not up to the goverment to step in to stock fish to keep the numbers up. That's only happens when a system has been mismanged, and in NW ONT I don't recall in particular a stocking program for walleye. And it scares me to think that people would consider going to a differnt border for the reason thinking that there not checking there. That group that had too many in one car and not enough in the other must be polite people. The warden understands that people makes mistakes, and I'm sure that's why only a warning was issued. Know it all jerks would of gotten a fine. I think it was about time that the warden's are actually doing there job and checking. The only people I can see complaing about that is somebody who has something to hide."
560207,Mohleye,2006-08-10 14:15:00,368,"My questions about a different border crossing had nothing to do with fish checks. We buy conservation licenses, and have been checked enough times over the years to know about splitting the fish up correctly among the vehicles, etc. We crossed at Ft Frances July 15, and the line was past the Ft Frances city limit sign. We waited over 3 hours, the temp was over 100, and there were near-fistfights when someone would try to cut in line. If I can avoid that by crossing at Baudette, it sounds good to me."
560209,Guest,2006-08-10 14:21:00,0,I've been going to NW Ontario for 28 years now and have never even thought of bringing a fish back. Now it makes me wonder if they are as good thawed then cooked six months later? Taking pictures of all the fish I catch is sufficient enough for convincing friends and family that I'm not up there just to drink the Candian beer.
560224,Guest,2006-08-10 19:52:00,0,Well Aaron if you've never thought of bringing back a few fish for your family to eat. Maybe their glad you and your camera are in Canada.
560230,Guest,2006-08-10 22:12:00,0,I doubt they are the superficial.
