544194,Cosmos,2011-01-27 13:46:00,588,how do you like it? I was planning to get one.
544205,motion,2011-01-27 14:14:00,403,"Geoff, have used a Garmin GP72 for years for exactly what you want to do. I have also just purchased a used Lowrance H2O so I can use my hotmaps from my boat GPS. I have found the Garmin works well, however, I wanted to see the lake depths for new and better ice fishing grounds.  I paid $75.00 for the H2O on Kijiji."
544206,GBW,2011-01-27 14:14:00,8460,have you used it yet?  Do you like it?  Is it easy to use?  I just might have to order one too...
544346,skeeter,2011-01-27 19:26:00,1907,"i have the H2Oc i love it. very simple to operate. only problem is , i heard they dont make them any more. if you can find one used, grab it!!!!!!!!!"
544347,GBW,2011-01-27 19:37:00,8460,I ordered the garmin etrac venture hc combo kit from Radioworld today.  thanks all!
544375,motion,2011-01-27 20:49:00,403,"Dan, I find my H2O doesn't like the cold though. I have to keep mine in th e hut if I want to use it when it get really cold."
544398,skeeter,2011-01-27 21:45:00,1907,thats a great deal geoff. spare batteries in shirt pocket!!!!! always!!!!!!!  motion: i have never had a problem with mine. i mount it on my skidoo and it works good.
544404,pacman77,2011-01-27 22:28:00,2," the cheap ones work fine,mine is a cheapy and had it for a while now and best purchase ever for boating especially for getting back to great fishing holes or reefs hopefully you will not need it to find your way home in a storm an ERB likely a good purchase as well."
544407,archer379,2011-01-27 22:36:00,277,  it showed up on tues i work nights and havent had a hole lot of time to play i did have it with we at work and had the tracking turned on it showed me walking to tim hortons at break. \i think i will like it for the price you cant beat it. If your ordering from radio world watch wich one you order there is 2 differnt units one is cheaper
544565,Guest ThisPlaceSucks,2011-01-28 03:55:00,0, let us know what you think of it!
544600,spincast,2011-01-28 10:42:00,3279,"if you plan on taking it out on softwater, my advice is get one that floats -- tie-ing the boat up on one of the last outings last year ""splash what was .... o fudge"".right out of my jacket pocket as I was leaning over the dock in low water levels......--"
544630,GBW,2011-01-28 13:59:00,8460,I got this one; http://radioworld.ca/product_info.php?products_id=6613  I will post what I think about it when I get a chance to test it.
544659,BillM,2011-01-28 15:35:00,17367,"Garmin GPSMap 62 here, nice upgrade over the 60csx it replaced."
545461,GBW,2011-01-30 19:09:00,8460,So now that I have this GPS and installed the software on the pc.  how do I get more detailed maps?  like a topo map of Ont?  Thanks in advance.
545465,archer379,2011-01-30 19:43:00,277,if you want it for waterways there is a disk you buy that covers in land lakes of ontatio or any other prov. it works the same as the disk you got with the gps
545469,douG,2011-01-30 19:59:00,2693,"Garmin 76CSX, had it for four years.  This thing will tell me what side of the street I am on.  The topo Canada map has incredible detail, even portages between tiny lakes north of Superior.  It has huge memory capability, is waterproof, and it floats.  Be wary of using a GPS that doesn't store a map.  An old buddy was hunting, and stored the location of his truck, but failed to load the map for the area.  As a result, he was stuck trying to find a good way around a big (unknown) swamp in late October with the sun going down - he didn't know where he was, only where his truck was.  He got very wet, and cold, and likely would not have made his way out that night, or at all.  FRS radio, lots of ammo for signalling, and buddies looking for him saved his hairy pimply that day.  The price being quoted for a gps like this one is a great deal, I paid almost double that, still worth every penny."
543816,GBW,2011-01-26 17:25:00,8460,"Hey all.  I'm considering getting a basic handhelp GPS with mapping capability.  I'm ok with used if the price is right.  All I want it for is to mark where I park when I go ice fishing so I can find my way back if a storm picks up.  That and to mark a good spot if I find one... I don't want to spend a lot either, I'm cheep...      Thanks.  Geoff"
543818,Guest ThisPlaceSucks,2011-01-26 17:30:00,0,"if you can get a used one in the garmin 76 series, you'll be set.  i've used the 76, now i own the 76csx."
543819,Terry,2011-01-26 17:31:00,14456,I think this is one of the best out there and the price is great  Garmin GPSMAP 76CSx    In stock   010-00469-00   $259.95       http://www.gpscentral.ca/products/garmin/76csx.htm  and as for maps you can find them for free on the internet for that unit
543821,Guest ThisPlaceSucks,2011-01-26 17:37:00,0,great minds think alike terry.
