819702,lew,2013-11-22 23:38:00,12766,"Started off as an interesting discussion, too bad it went down the drain."
819706,misfish,2013-11-22 23:42:00,29133,"Myself,I find no good taste to any thing these days. ALL THE PORK CHOPS AND STEAKS TASTE LIKE WATER. I pretty much a,add pepper and salt,some suace. It,s all gone down to crap if you ask me. Except the organic sweet corn I found this year. What a refreshing taste."
819708,leaf4,2013-11-22 23:46:00,2466,"I think it would be a much more civil debate if the 2 anti gmo guys would show some credit where it's due, like come on I sure hope when I'm retired and know a thing about bending, shaping and forming metal at the very least when I chime in on something it's taken for what it is and what life has taught me and these guys are writing off his career as if it's been a waste of a life, completely rude and shows an utter lack of respect, as I've always been told respect your elders  edit: he's also not shoving food down your throat, telling you to eat gmo foods or your life is over he's sending some information to you, that you're discounting because he's ""old"" would it change your mind if he were 30 and telling you the same things? not likely"
819709,Rich,2013-11-22 23:50:00,3927,"Credit? The dude is spouting government facts like a machine. He obviously hasn't actually put thought into anything, he just blindly obeys, and pushes it on us?! Respect? Show me just a little and ill give it back."
819712,Rich,2013-11-22 23:52:00,3927,"""Im a butcher"" immediate got shot down, but we should all respect HIS career, which is also JUST as related to GMO?"
819713,leaf4,2013-11-22 23:58:00,2466,"this is why it's not worth having the debate, everything he says is shot down as government propaganda meanwhile he's the one that invested time & energy into the industry - as the saying goes you're damned if you do and you're damned if you don't, I'm going to believe life experience over something someone read on the internet 100 times out of 100 times, that's life experience from the source, the best teacher."
819714,Old Man,2013-11-23 00:03:00,822,Thank you again leaf4. I'm out of here. Do what you need to to Art.
819715,John Bacon,2013-11-23 00:04:00,3277,"""Im a butcher"" immediate got shot down, but we should all respect HIS career, which is also JUST as related to GMO?  I don't think that his comment was disrespectful to your career; it simply pointed out that knowing how to butcher a cow is different than knowing how to raise a cow."
819716,aplumma,2013-11-23 00:04:00,6896,Lets leave this with do your research and feed your family what you feel is correct.   Night all   Art
819606,tb4me,2013-11-22 19:19:00,3295,"Number one , no one signs my pay check, I'm retired and have nothing to gain by sharing the truth with anyone that want's to know the real truth. Not like these activist groups who raise millions for their own benefit by spreading disinformation and fear. Your reply is full of emotion but lacks any truth other that spouting off anti GMO reteoric and lies. Not to sound arrogant, but I am vastly more qualified in both experience and education to comment on this issue then anyone else that has posted here. Have a good day. Yup as I figured..Cant teach an old dog new tricks..Thank god your at the end of your career.."
819616,Old Man,2013-11-22 19:31:00,822,"  Love the good comeback that's full of fact and informed information. And yes, I had a great career and contributed to the improvement of agricultural science which was what my goal was when I entered the industry. So I'd say it was a success. There are thousands of us who have dedicated their life to this field of study and it feels good when anyone of them know they've made a positive contribution to the farmers and man kinds ability to feed themselves."
819628,woodenboater,2013-11-22 20:12:00,2277,"I would start at a place like Grassroots (stores on the Danforth...by the Commons and on Bloor St. near Brunswick Ave in the Annex). I bought some organic corn seed this summer but can't remember where I got it. The package is at the cabin so next time I'm up, will see if there's a price sticker."
