1300588,Further North,2011-04-28 20:15:00,2008,$$$$$$$$$$$$$$$$$$$$$
1300596,Guest,2011-04-28 20:26:00,0,Not all the hypocrites live in the US :-)
1301267,JinxCanada,2011-04-30 18:29:00,1306,"When they say ""any other convictions"" they are referring to CRIMINAL convictions...not traffic tickets etc."
1299972,GNO,2011-04-27 12:37:00,153,"The Canadian govt makes the rules. The rules are the rules of each country, but the big problem is with the discretionary part at the border. If it was cut and dry it would be allot simpler and less of a problem. A simple solution would be to not allow anyone with a DUI to drive while they are in Canada. It would be pretty simple to put in the system or hold the persons drivers license until they leave the country. It is not as easy as changing the law that is currently in place, MADD will protest it to no end and which ever politican pushes for the change is committing political suicide. The biggest issue to resolve is the discretionary part and eliminate the $200 rehab fee. Last I knew paying $200 did not make anyone less of a criminal or rehabilitated. If that is all it takes to get rehabilitated they tell everyone at AA to pay $200 and be saved."
1299991,teddi,2011-04-27 13:16:00,349,you could be like some other camp owners and just hire another american instead. there are more americans working at canadian camps than canadians. a friend of a friend or someones kid that needs a job for the summer.
1300007,Fisherman Ted,2011-04-27 13:44:00,461,"Easier said than done. Very difficult to get a foreign worker into a Canadian business. Its a long process an owner has to go through to do so and the Canadian government frowns upon it. Just to get ME into Canada to run my own lodge took 3 months! You have to show that you were not able to hire locally, with job postings etc. before you can even consider bringing in someone from across the border. Normally you can do that with highly specialized skills. Not the same for a cabin cleaner. With the job market pretty tough in Canada there is no way I could say I was not able to find a dock hand in Canada. I have received hundreds of resumes. But you are not getting my point. If I can't have a guest come across the border due to past indiscretions I am not hiring anyone, Canadian or otherwise....."
1300018,teddi,2011-04-27 14:20:00,349,sorry but you miss my point. lots of americans hired under the table for camps. not saying you do this but some do. also this thread is getting off the topic.
1300194,cruiseforever,2011-04-27 21:05:00,177,What I find sad is that there are so many Americans with DWIs to make this a big issue. I know in Minnesota there are many vehicles with the whiskey plates. A ton of money going to the insurance companies and lawyers.
1300243,Skywagon,2011-04-28 05:13:00,1106,"Have you noticed the last couple of years, how there seems to be a lot less emphasis on WC, about how much people are going to drink when coming to Canada to fish? I think the % of WC readers talking about that were probably small, but they were vocal. Maybe the economy is weeding that segment of society out and some had to make the choice between drinking hard at home all the time, or a Canadian fishing trip. Maybe the DUI's being talked about were some of those guys that finally got caught. At any rate, it is too bad for the the occasional drinker that got caught with a DUI and can now not come to Canada, but getting drunk drivers off the road, no matter what the circumstances, is a good thing. Being held an example is only a bad thing if it effects you. It is also too bad that things have gotten slow enough that camp owners need these people to survive. For the rehabilitation fee, maybe Canada is sending a message, the US should do the same. Nothing wrong with drinking, it is a Canadian institution, just don't drink and drive, all will be well."
1300406,Mark R,2011-04-28 12:14:00,1538,what is a whiskey plate?
1300425,CI_Guy,2011-04-28 12:44:00,2118,"In MN if you have been convicted of a DUI all of the vehicles in your household have to display ""whiskey"" plates for a certain period of time. They have a different arangement of letters and numbers than that of a normal plate. Law enforce can pull the vehicles over at any time with no other probable cause."
