538371,joepa,2004-03-22 07:13:00,366,gpbrown: Did you get my e-mail?
538955,Guest,2004-04-18 14:21:00,0,Here's the outfitter on the cabonga where you can get maps from http://www.deer-horn-lodge.com
538980,Guest,2004-04-19 11:14:00,0,official Canadian Government web site with topo maps:http://toporama.ctis.nrcan.gc.ca/
538288,gpbrown,2004-03-19 10:43:00,359,"That was an interesting thread on the Gouin Res and the information about the maps. Our group has been going to Cabonga for years and I would love to find a good map. Does anyone know if one's available. Thanks, gb"
538333,gpbrown,2004-03-19 10:43:00,359,"That was an interesting thread on the Gouin Res and the information about the maps. Our group has been going to Cabonga for years and I would love to find a good map. Does anyone know if one's available. Thanks, gb"
538291,retire55,2004-03-19 14:43:00,1029,"GPBrown: Go to the World of Maps web page http://www.worldofmaps.com/ and select on-line store. Then do a search for cabonga reservoir. I followed these steps and ascertained that there is a 1:50,000 laminated map available for $24.95 Cdn."
538336,retire55,2004-03-19 14:43:00,1029,"GPBrown: Go to the World of Maps web page http://www.worldofmaps.com/ and select on-line store. Then do a search for cabonga reservoir. I followed these steps and ascertained that there is a 1:50,000 laminated map available for $24.95 Cdn."
538293,McQ,2004-03-19 15:52:00,615,To the best of my knowledge there aren't any hydrographic charts for any of the lakes within Quebec Parks. There are of course topo maps and they are readily available in a number of scales. Retire 55's link is a great source.
538338,McQ,2004-03-19 15:52:00,615,To the best of my knowledge there aren't any hydrographic charts for any of the lakes within Quebec Parks. There are of course topo maps and they are readily available in a number of scales. Retire 55's link is a great source.
538294,Andre M,2004-03-19 16:12:00,86,There is another link where you can get maps:http://www.jlcgeo.com/home/home.php
538339,Andre M,2004-03-19 16:12:00,86,There is another link where you can get maps:http://www.jlcgeo.com/home/home.php
538295,Andre M,2004-03-19 16:14:00,86,You are right McQ there is no hydrographic map for the Cabonga.
538340,Andre M,2004-03-19 16:14:00,86,You are right McQ there is no hydrographic map for the Cabonga.
