358683,fishaman,2009-07-05 13:56:00,1,Can you fish from shore in this tournament ? Can you fish from shore with the kids at Bingemans ?
358687,Musky or Specks,2009-07-05 14:10:00,2710,Yes
358791,jediangler,2009-07-05 22:35:00,1923,"I heard that 20 3/8"" was the winner."
359966,profc,2009-07-09 02:10:00,2,"Anyone know what the final results were?  I didn't get a single bass all weekend.  I got a nice whopper tonight though!  A bit over 17""  I'm curious where it would have placed.  Also, what do the tags look like that they were putting in the fish?  I didn't see anything on this guy:  "
360023,jediangler,2009-07-09 04:32:00,1923,"You would have needed something over 19"" to even have a chance.  The winner was 20 3/8"". With a 17"" fish you'd probably be around 100th place.  I didn't hear if the tagged fish was caught. It was a pretty obvious tag in the middle of the back.  If you're hungry for more competition, both Island lake in Orangeville and Valens conservation area have derbies on this weekend."
360078,troutologist,2009-07-09 13:10:00,951,"I miss bass fishing on the grand, I found it to be quite good was there from about 2000-07. October and November were my favourite times...thats when the hawgs seemed to come out in the sections I fished. Still amazed at the size of fish that came out of there.  One still haunts me, ran like a salmon then jumped way downstream, 7ish maybe? It was a horse.  I avoided the derby weekend too. Never a fan of fishing with a crowd.  Good times"
360081,Marko,2009-07-09 13:16:00,854,"Few of us went out wading behind where Dollhouse used to be, got 2 little ones, then moved up few km`s and got 2 large mouths and bunch of rock bass and a fairly big snapping turtle."
360111,endless,2009-07-09 14:26:00,27,*roughly* how much would the winning fish weigh?  I've seen some pictures from previous derbies and they looked 4-5lbs?
360136,Cookslav,2009-07-09 15:25:00,1457,"I ""used"" to enter this years ago as a kid, but as I got older the crowds were less appealing"
360141,jediangler,2009-07-09 15:35:00,1923,"Endless, a half dozen years ago I caught a 19.5"" smallie from the Grand in Kitchener and it weighed 3.3lbs on a digital scale. These are river fish and don't get the girth of smallies in Simcoe or lake Erie. I would say 4 to 4.25lbs for a 20"" Grand river fish max. At least up in this section. I'm sure the closer you get to lake Erie the heavier they will weigh per inch of length."
358218,jediangler,2009-07-03 16:03:00,1923,I'm staying clear of the river this weekend because of this derby but thought some of you may be interested.  http://www.grandriverbassderby.ca/rules.html
358283,timmeh,2009-07-03 20:08:00,609,You and me both. I had a canoe trip planned until I remembered this. I'll be heading elsewhere now.
358300,Musky or Specks,2009-07-03 21:36:00,2710,Yeah Id wish theyd just stop it and find another way to raise money for the optimist club
358332,ironstone74,2009-07-04 00:44:00,201,Really guys??? I look forward to the derby to take the kids out and try to hook into a winner.  Have you guys had bad experiences or are the crowds too much of a pain?  Paul
358368,timmeh,2009-07-04 02:43:00,609,"  My reasoning for avoiding it is I feel it's very bad for the fishery. It's great they make it a catch and release tourney only but having people cart bass back and forth to the weigh station is very stressful and I suspect a large number don't return to the river alive. Keeping fish for hours in white bucket and bags is no good, which is what too many people do. They need to add a few additional weight in stations so fish don't need to be transported all around the watershed.  But that's just my opinion. Hopefully you and your kids have a good time, the weather looks good."
358369,jediangler,2009-07-04 02:52:00,1923,"I hate to see a natural resource used and abused to generate income, for a charity or for a fishing store. It's my home river, so I guess I'm a little protective of it."
358370,ironstone74,2009-07-04 02:52:00,201,I haven't seen live fish being stored like that but I hope it doesn't happen too much.  I know the mortality rate is low (according to media releases from the Nelson Murakami) and next year all fish must be kept in a container with a portable O2 feed so that should help out a lot.  I'll see what I can see tommorrow and feed back to the guys at Natural Sports!!!  Paul
358374,jediangler,2009-07-04 02:55:00,1923,The guys at Natural know what they're doing. Where do you think all those battery powered airators are going to be sold from?
358375,ironstone74,2009-07-04 02:56:00,201," I can see that, I have been scouting sections this week and I could be surprised to see some ""trespassers"" in my spots... haha.  I still think overall that the derby raises money for a good service group and encourages people to go and fish together so it's a good thing.  Paul"
358377,ironstone74,2009-07-04 02:59:00,201," My plan is to leave it in the package, if a get a 19""er or better I'll spend the 8 bucks and open er up and go to the weigh in.  Can't have it both ways, spend a bit to save a fish.  P"
358378,jediangler,2009-07-04 03:03:00,1923,Good luck Paul. I'm sure you'll see plenty of other fishermen. I might stop by Bingeman's with my daughter just to look at the holding tanks full of big smallies. Post a report when it's over.
358387,timmeh,2009-07-04 03:32:00,609,  Ya I heard this as well and I think that it's a great idea.  In previous years while fishing on derby weekend I've seen some pretty poor carrying containers though I suspect most people do make the effort to transport fish safely.  But for a river based tourney that runs from Belwood to Paris I don't understand why they don't have more than 1 measuring station. All you need is a reliable person with a tape measure.
