880293,fishnsled,2014-11-11 02:38:00,3520,No pics or video??  Didn't happen.
880297,okumasheffield,2014-11-11 02:48:00,318,Ladies?!  I gotta fish where you fish!
880301,BillM,2014-11-11 03:12:00,17367,"Ladies?!  I gotta fish where you fish!  Ok, it impresses Terry  :)"
880064,misfish,2014-11-09 22:07:00,29133,"Three years  and 9 days ,( give or take a month or 2)  .  I did away with the spinning reel on the long rod,and replaced it  with a float reel. As I started to type this,I started laughing at myself. (why I dont laugh at those that are first timers, I know they will go through their own trials and tribulations)  I thought it would be so easy. Just head out and start fishing. Pull on the line,whipping the rod bobs your uncle. NOT  My first outing was late fall,well more like December,-15. Reels full of braid. Not sure where I read to use braid,but hey.I was stoked about getting out with my first set up,I didnt care. I was warned,but who are you to tell me. Ok,lesson was learned fast.  15 minutes in and Im all iced up. Braid was full of ice and I was frozen and pissed off. Nice start to pinning eh  After a few outings,in more favorable weather  and watching a fella for an hour and having Bill M make a trip down with me,I got the hang of the side cast.   I was very happy I was able to float my way to catch some fish. Still remember my first.  I got line twists alot though and had discussions on how to prevent this. The Wallis cast was mentioned. So I did some youtube searching.The swivel suggestion came up as well and I went with that.( wallis cast looked a bit confusing to me) I found this triple barrel swivel,it worked, for awhile. I was getting no line twist , but after a few outings,it was back.  I tried on many occasions to give the wallis cast a try. I just couldnt get it. Maybe I was  in a rush to get the hang of it.  I knew it was all about timing.  I had the past 9 days to fish. I said to myself,you are going to get this.  I tried and tried,but I just couldnt  get it.  Day 3 I was getting there. Well sorta. Day 4 better,but not there yet.Day 5 and 6,pretty much there but just not natural yet.  Then came  the 7th day. Lucky 7   . I slowed myself down and just let it happen. Light pull,hand to the side and the line flowed. Reel in and do it again. Same result. Timing and not thinking about it was the key.  I caught myself doing a side cast the odd time. I would quickly reel up the line and re cast.Need to get that out of my head.  The Wallis cast.  Yes I conquered it.  This may not seem like a historic completion to some,but it,s a hell of a great feeling to this old dog that learned a new trick.Finally.  I dont give lessons."
880066,Terry,2014-11-09 22:28:00,14456,"I noticed, I will never learn it or the other pin cast  you made it look easy of course I would never turn the camera on when you catch a tree but some would just saying  lol"
880069,davey buoy,2014-11-09 22:58:00,5505,"WTG Brian,no where close here but I'm ok with that,now we have a teacher,things may speed up quicker??  ."
880070,ketchenany,2014-11-09 23:09:00,3229,Good going Brian! Practice makes it perfect!  And to boot when you were doing it you weren't thinking about smoking. Two great achievements in my books.
880072,okumasheffield,2014-11-09 23:33:00,318,Welcome to the Wallis Club - Free of line twist for the rest of Steelheader's life!
880077,BillM,2014-11-10 00:26:00,17367,Welcome to the Wallis Club - Free of line twist for the rest of Steelheader's life!  This is also solved with a swivel above your float.  
880082,ketchenany,2014-11-10 00:33:00,3229," you Sir could make money teaching on the rivers! Not that you would charge a tangled fellow, but helping with gas would help"
880095,Moosebunk,2014-11-10 01:06:00,3970,Watchoo talkin' 'bout Wallis ??!!!!  
880118,okumasheffield,2014-11-10 03:30:00,318,Have tried it before but never worked for me.  Wonder if a ball-bearing swivel is required to get the job done or not
880123,misfish,2014-11-10 10:31:00,29133," This is also solved with a swivel above your float.    Ya just what I need,another breaking point.LOL"
880135,BillM,2014-11-10 12:40:00,17367,"Have tried it before but never worked for me.  Wonder if a ball-bearing swivel is required to get the job done or not  I use the same XXXS Raven swivels I do from shot > leader.   No issues here.  Braid also cuts down on the line twist as well, although you always get a bit (But nothing like running mono)"
880139,blaque,2014-11-10 12:50:00,2419,Nice.......be sure to follow up in 6 weeks when youve got a pair of fingerless woolies on and your tip guide is freezing up and your sucking ice off your mainline  The side cast.........Youll be back lol
880194,Christopheraaron,2014-11-10 18:34:00,3525," I use the same XXXS Raven swivels I do from shot > leader.   No issues here.  Braid also cuts down on the line twist as well, although you always get a bit (But nothing like running mono) Not a question about the swivel but the knots, no matter how good you are at tying you'll mess one up eventually, your rig then has five knots, seems a lot simpler to wallis if you ask me. Congrats Brian!"
880218,BillM,2014-11-10 20:32:00,17367,"Not a question about the swivel but the knots, no matter how good you are at tying you'll mess one up eventually, your rig then has five knots, seems a lot simpler to wallis if you ask me. Congrats Brian!  You'll mess one up eventually if you're only tying 3...  It makes no difference."
880219,Spiel,2014-11-10 20:43:00,9065," You'll mess one up eventually if you're only tying 3...  It makes no difference.   3....?   Nah! Two knots, one at the hook and one at the leader to main line. I subscribe to the KISS theory and it's worked for 40 years .  Oh and congrats Brian, another technique in your arsenal."
880221,davey buoy,2014-11-10 20:51:00,5505,"I don't wallis,but the hook,and after the leader a swivel.That's two for me."
880223,Christopheraaron,2014-11-10 21:18:00,3525,"You got it! No swivel for me, main to leader with a blood knot then to the hook, no need for anything more!"
880227,misfish,2014-11-10 21:52:00,29133,"Im weening of the swivel next. .  Chris,,,,,,,,,,,,KISS,,,,,,,,,,,,,Rock band?????????????  Thanks fellas."
880231,misfish,2014-11-10 22:23:00,29133,"I noticed, I will never learn it or the other pin cast  you made it look easy of course I would never turn the camera on when you catch a tree but some would just saying  lol   Now where did I put that video,,,,  Hey you sir, are a trooper at 60 yoa."
880233,Terry,2014-11-10 22:32:00,14456,Hey. Age don't make any difference.  And I am pretty sure I am only 50 or so. Some mornings  I'm 18  And it still doesn't. Help me cast that silly pin. Lol
